X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,new_auc,model
Otu00462,Otu04448,Otu06075,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6931623931623931,Random_Forest
Otu00520,Otu04360,Otu04810,Otu05861,Otu06060,Otu06149,Otu06477,Otu07111,Otu07196,Otu09376,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6931623931623931,Random_Forest
Otu00540,Otu03520,Otu03528,Otu03579,Otu03845,Otu04242,Otu04559,Otu04564,Otu04604,Otu04856,Otu05102,Otu05157,Otu05167,Otu05488,Otu05601,Otu05706,Otu06816,Otu07190,Otu07395,Otu09188,Otu09260,Otu09388,Otu09476,Otu09779,Otu09864,Otu10158,Otu10423,Otu10718,Otu10725,Otu10728,Otu10849,Otu10877,Otu11118,,NA,NA,NA,NA,NA,NA,NA,NA,0.6931623931623931,Random_Forest
Otu00548,Otu01439,Otu02906,Otu07063,Otu08039,Otu09871,Otu10485,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6931623931623931,Random_Forest
Otu00637,Otu02953,Otu03409,Otu03897,Otu04918,Otu05112,Otu05877,Otu05931,Otu06047,Otu06295,Otu06464,Otu06660,Otu07401,Otu07539,Otu07614,Otu07748,Otu07978,Otu08003,Otu08353,Otu08387,Otu08481,Otu09136,Otu09404,Otu10126,Otu10147,Otu10955,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6931623931623931,Random_Forest
Otu00652,Otu03774,Otu03805,Otu03896,Otu04048,Otu04638,Otu04676,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6931623931623931,Random_Forest
Otu00660,Otu00889,Otu01595,Otu02112,Otu02156,Otu02659,Otu02692,Otu02745,Otu02914,Otu04191,Otu05350,Otu05511,Otu07203,Otu07650,Otu10205,Otu10512,Otu10952,Otu10953,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6931623931623931,Random_Forest
Otu00725,Otu04407,Otu04538,Otu04784,Otu05218,Otu05349,Otu05444,Otu06923,Otu07070,Otu07901,Otu08276,Otu08710,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6931623931623931,Random_Forest
Otu00774,Otu01313,Otu02261,Otu03209,Otu03555,Otu04609,Otu05792,Otu05909,Otu06970,Otu07238,Otu07515,Otu09554,Otu09939,Otu10108,Otu10308,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6931623931623931,Random_Forest
Otu00892,Otu02014,Otu02249,Otu02378,Otu02487,Otu05506,Otu05697,Otu07248,Otu10562,Otu11143,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6931623931623931,Random_Forest
Otu00981,Otu01233,Otu04063,Otu04750,Otu04792,Otu05924,Otu06785,Otu07032,Otu07732,Otu09193,Otu09348,Otu09600,Otu10978,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6931623931623931,Random_Forest
Otu01008,Otu01638,Otu02534,Otu03160,Otu03249,Otu03556,Otu03649,Otu04227,Otu04443,Otu04920,Otu09793,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6931623931623931,Random_Forest
Otu01033,Otu02632,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6931623931623931,Random_Forest
Otu01046,Otu07970,Otu08365,Otu08436,Otu08445,Otu10183,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6931623931623931,Random_Forest
Otu01051,Otu02049,Otu03306,Otu03580,Otu03596,Otu03872,Otu04406,Otu04512,Otu04555,Otu04847,Otu05009,Otu05330,Otu05481,Otu05565,Otu06109,Otu06632,Otu06934,Otu06956,Otu07059,Otu07225,Otu07476,Otu08761,Otu08909,Otu09264,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6931623931623931,Random_Forest
Otu01055,Otu04533,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6931623931623931,Random_Forest
