cv_aucs	test_aucs	Cost
0.721523631645583	0.683760683760684	0.015
0.723855998855999	0.66965811965812	0.06
0.737651632468706	0.692307692307692	0.035
0.735164310652116	0.641880341880342	0.06
0.736735751430873	0.702136752136752	0.035
0.731960767387597	0.563675213675214	0.06
0.743408338652241	0.632905982905983	0.06
0.737832527649601	0.688034188034188	0.06
0.718603359457018	0.762820512820513	0.015
0.739888669156962	0.56025641025641	0.06
0.745029820761528	0.599145299145299	0.06
0.723847349091251	0.685470085470085	0.025
0.753157582669778	0.674358974358974	0.06
0.7572019929337	0.599145299145299	0.06
0.717308711150175	0.807478632478632	0.06
0.729682007791764	0.627777777777778	0.025
0.729481223383662	0.592307692307692	0.015
0.743177541653151	0.661965811965812	0.06
0.713300268910025	0.704700854700855	0.025
0.728722668661693	0.744017094017094	0.06
0.746761003163442	0.704273504273504	0.025
0.703073212585408	0.742307692307692	0.015
0.724161461112681	0.656196581196581	0.06
0.732140337201313	0.574786324786325	0.06
0.719518708604075	0.711538461538462	0.015
0.695441155441155	0.77991452991453	0.025
0.697800274141738	0.761538461538461	0.035
0.755270052282247	0.581623931623932	0.06
0.748425830011196	0.631196581196581	0.06
0.68132836669422	0.768376068376068	0.025
0.742059960657522	0.704273504273504	0.035
0.719235236979139	0.629059829059829	0.015
0.740473034009619	0.674786324786325	0.05
0.699015993345262	0.709401709401709	0.015
0.710367562684636	0.64957264957265	0.025
0.742043986495206	0.658547008547009	0.035
0.734308576869553	0.655555555555556	0.035
0.738453279063035	0.57991452991453	0.06
0.733257063683893	0.713675213675214	0.015
0.726253030033518	0.687606837606838	0.035
0.748440792709085	0.709401709401709	0.06
0.720676041895554	0.692735042735043	0.06
0.731608960877254	0.708974358974359	0.035
0.733049103110079	0.639316239316239	0.015
0.73290067942507	0.67051282051282	0.035
0.719056312409971	0.782478632478632	0.025
0.743207990220185	0.643162393162393	0.06
0.71622540659126	0.67542735042735	0.06
0.73243803036486	0.640598290598291	0.06
0.733957101701004	0.683333333333333	0.035
0.743535530303823	0.608119658119658	0.035
0.743540700979725	0.636324786324786	0.06
0.724975986439401	0.635470085470085	0.035
0.743729661717467	0.62991452991453	0.035
0.727328626535944	0.658974358974359	0.035
0.715301477435624	0.697863247863248	0.015
0.73344141179507	0.638034188034188	0.06
0.735991801906436	0.697008547008547	0.035
0.750386266056998	0.553418803418803	0.06
0.738549542573933	0.792307692307692	0.035
0.754114305943574	0.623931623931624	0.06
0.741549929720661	0.64017094017094	0.06
0.714132939559769	0.724358974358974	0.015
0.718832316637195	0.654273504273504	0.035
0.744712177334129	0.614957264957265	0.06
0.705347751933118	0.804273504273504	0.025
0.740615310432384	0.652564102564103	0.025
0.73771011429548	0.654700854700855	0.015
0.722132507071531	0.681623931623932	0.06
0.722339543376129	0.658760683760684	0.035
0.739723434235629	0.652991452991453	0.035
0.736505904859563	0.612820512820513	0.06
0.739676601688797	0.645726495726496	0.035
0.728566658993488	0.645299145299145	0.035
0.722728442728443	0.664957264957265	0.015
0.715862482691751	0.686324786324786	0.06
0.702043506921556	0.779059829059829	0.015
0.759132834925518	0.665811965811966	0.05
0.716536397024202	0.638888888888889	0.035
0.747101953870247	0.601709401709402	0.06
0.7359558077241	0.674786324786325	0.035
0.713299283604162	0.728418803418803	0.015
0.729471309288382	0.670726495726496	0.06
0.741016408394457	0.604273504273504	0.06
0.739534656607827	0.619230769230769	0.06
0.73507264232874	0.713247863247863	0.015
0.721713821835773	0.676495726495727	0.06
0.727384440189318	0.611538461538462	0.06
0.719653835019689	0.638034188034188	0.035
0.724470777397607	0.686324786324786	0.015
0.724909020518777	0.67948717948718	0.015
0.743428463306512	0.672649572649573	0.035
0.714639212383115	0.618803418803419	0.06
0.71255347682177	0.711965811965812	0.025
0.726164343786295	0.652991452991453	0.035
0.700307075368051	0.657692307692308	0.06
0.739634338170923	0.638461538461538	0.025
0.730467436077192	0.725854700854701	0.025
0.722296730528438	0.627777777777778	0.015
0.724599617038641	0.740598290598291	0.015
