"cv_aucs","test_aucs","model"
0.762414042962823,0.654700854700855,"L2_Linear_SVM"
0.730432008663716,0.73974358974359,"L2_Linear_SVM"
0.705083471973716,0.790598290598291,"L2_Linear_SVM"
0.751262028579102,0.703418803418803,"L2_Linear_SVM"
0.719139976213147,0.72991452991453,"L2_Linear_SVM"
0.724639901225267,0.70042735042735,"L2_Linear_SVM"
0.710111627306749,0.655128205128205,"L2_Linear_SVM"
0.739389572499329,0.656410256410256,"L2_Linear_SVM"
0.745071029217371,0.668376068376068,"L2_Linear_SVM"
0.713891391391391,0.717094017094017,"L2_Linear_SVM"
0.731058087704429,0.69957264957265,"L2_Linear_SVM"
0.734723905089759,0.638247863247863,"L2_Linear_SVM"
0.73724098663123,0.682051282051282,"L2_Linear_SVM"
0.720443256845696,0.753418803418803,"L2_Linear_SVM"
0.733065556846045,0.713675213675214,"L2_Linear_SVM"
0.737570043911507,0.604700854700855,"L2_Linear_SVM"
0.731195524793086,0.591880341880342,"L2_Linear_SVM"
0.725424719144231,0.72008547008547,"L2_Linear_SVM"
0.738753500887647,0.640811965811966,"L2_Linear_SVM"
0.757619614387907,0.656837606837607,"L2_Linear_SVM"
0.737806700428652,0.679059829059829,"L2_Linear_SVM"
0.716928208696501,0.737606837606838,"L2_Linear_SVM"
0.744667071252437,0.719017094017094,"L2_Linear_SVM"
0.750199851419364,0.588034188034188,"L2_Linear_SVM"
0.735096010644791,0.69957264957265,"L2_Linear_SVM"
0.70011487096853,0.718803418803419,"L2_Linear_SVM"
0.699838688863079,0.735897435897436,"L2_Linear_SVM"
0.733006429774722,0.682905982905983,"L2_Linear_SVM"
0.716396562067294,0.666239316239316,"L2_Linear_SVM"
0.721125358808286,0.664102564102564,"L2_Linear_SVM"
0.724496787728495,0.61965811965812,"L2_Linear_SVM"
0.718406263406263,0.747008547008547,"L2_Linear_SVM"
0.72745357727065,0.673931623931624,"L2_Linear_SVM"
0.74745433586897,0.629487179487179,"L2_Linear_SVM"
0.727131835668421,0.697008547008547,"L2_Linear_SVM"
0.733114639029273,0.723076923076923,"L2_Linear_SVM"
0.747893843320673,0.623931623931624,"L2_Linear_SVM"
0.722843854307269,0.741452991452991,"L2_Linear_SVM"
0.739844618137301,0.648290598290598,"L2_Linear_SVM"
0.731113474101279,0.571794871794872,"L2_Linear_SVM"
0.737560312926167,0.612820512820513,"L2_Linear_SVM"
0.716079877787195,0.616239316239316,"L2_Linear_SVM"
0.71812451824647,0.543162393162393,"L2_Linear_SVM"
0.753137981186762,0.572649572649573,"L2_Linear_SVM"
0.733253540997443,0.611111111111111,"L2_Linear_SVM"
0.727507551105112,0.667948717948718,"L2_Linear_SVM"
0.740102907785835,0.668376068376068,"L2_Linear_SVM"
0.727658111072745,0.552564102564103,"L2_Linear_SVM"
0.71708987733378,0.635042735042735,"L2_Linear_SVM"
0.698690545946643,0.758119658119658,"L2_Linear_SVM"
0.734257149135198,0.653846153846154,"L2_Linear_SVM"
0.745058882924737,0.646153846153846,"L2_Linear_SVM"
0.737528146613513,0.576709401709402,"L2_Linear_SVM"
0.726490078929103,0.671794871794872,"L2_Linear_SVM"
0.742207364158584,0.628632478632479,"L2_Linear_SVM"
0.735244730793511,0.67991452991453,"L2_Linear_SVM"
0.723430555991532,0.645299145299145,"L2_Linear_SVM"
0.763799810263225,0.572222222222222,"L2_Linear_SVM"
0.736529630675972,0.786324786324786,"L2_Linear_SVM"
0.700917529027285,0.755128205128205,"L2_Linear_SVM"
0.731469370066931,0.644871794871795,"L2_Linear_SVM"
0.718035893035893,0.751282051282051,"L2_Linear_SVM"
0.724196217123046,0.694444444444444,"L2_Linear_SVM"
0.719423081618204,0.641239316239316,"L2_Linear_SVM"
0.728211800650825,0.679059829059829,"L2_Linear_SVM"
0.719718263559727,0.766239316239316,"L2_Linear_SVM"
0.727367646392037,0.713675213675214,"L2_Linear_SVM"
0.724035769218696,0.719230769230769,"L2_Linear_SVM"
0.702615795237746,0.648717948717949,"L2_Linear_SVM"
0.722957417347661,0.633760683760684,"L2_Linear_SVM"
0.731029060419304,0.699358974358974,"L2_Linear_SVM"
0.717420634920635,0.721794871794872,"L2_Linear_SVM"
0.722334390139268,0.65,"L2_Linear_SVM"
0.722650028076857,0.64017094017094,"L2_Linear_SVM"
0.724865893768333,0.737606837606838,"L2_Linear_SVM"
0.71459445508226,0.668376068376068,"L2_Linear_SVM"
0.716376306620209,0.66965811965812,"L2_Linear_SVM"
0.697165266311608,0.71965811965812,"L2_Linear_SVM"
0.728234767868914,0.668376068376068,"L2_Linear_SVM"
0.726316551743381,0.458974358974359,"L2_Linear_SVM"
0.75837086215135,0.608119658119658,"L2_Linear_SVM"
0.725119134814257,0.704700854700855,"L2_Linear_SVM"
0.715592630958485,0.692735042735043,"L2_Linear_SVM"
0.706094247557662,0.679059829059829,"L2_Linear_SVM"
0.718039808100784,0.668376068376068,"L2_Linear_SVM"
0.746659525379038,0.657692307692308,"L2_Linear_SVM"
0.742096983743325,0.594017094017094,"L2_Linear_SVM"
0.727795853344634,0.664957264957265,"L2_Linear_SVM"
0.701114380931454,0.760683760683761,"L2_Linear_SVM"
0.707235013759404,0.72008547008547,"L2_Linear_SVM"
0.719439814378839,0.670940170940171,"L2_Linear_SVM"
0.708490145197462,0.738034188034188,"L2_Linear_SVM"
0.709110669903353,0.714529914529915,"L2_Linear_SVM"
0.734440572977158,0.683333333333333,"L2_Linear_SVM"
0.715086262220409,0.59465811965812,"L2_Linear_SVM"
0.719259346454468,0.74017094017094,"L2_Linear_SVM"
