	level_1	AUC
97	Testing	0.7042898792169929
98	Cross-validation	0.7156084656084656
98	Testing	0.7141649048625793
99	Cross-validation	0.6686991869918699
99	Testing	0.7363370880267001
100	Cross-validation	0.6650579150579151
101	Cross-validation	0.7146074646074646
102	Cross-validation	0.6685971685971687
103	Cross-validation	0.7724867724867724
104	Cross-validation	0.625
105	Cross-validation	0.6621621621621622
106	Cross-validation	0.7837837837837835
107	Cross-validation	0.7413127413127413
108	Cross-validation	0.6792328042328043
109	Cross-validation	0.6304200542005419
110	Cross-validation	0.6608751608751608
111	Cross-validation	0.8162805662805663
112	Cross-validation	0.611969111969112
113	Cross-validation	0.6448412698412699
114	Cross-validation	0.712059620596206
115	Cross-validation	0.777027027027027
116	Cross-validation	0.6618404118404118
117	Cross-validation	0.6145431145431146
118	Cross-validation	0.6144179894179894
119	Cross-validation	0.6016260162601627
120	Cross-validation	0.7586872586872586
121	Cross-validation	0.6647361647361647
122	Cross-validation	0.6267696267696268
123	Cross-validation	0.6984126984126986
124	Cross-validation	0.7344173441734417
125	Cross-validation	0.8014800514800515
126	Cross-validation	0.7351994851994853
127	Cross-validation	0.8088803088803089
128	Cross-validation	0.6167328042328042
129	Cross-validation	0.6355013550135502
130	Cross-validation	0.6438223938223938
131	Cross-validation	0.6386743886743886
132	Cross-validation	0.6895109395109394
133	Cross-validation	0.7615740740740741
134	Cross-validation	0.763550135501355
135	Cross-validation	0.6846846846846848
136	Cross-validation	0.7149292149292149
137	Cross-validation	0.7036679536679538
138	Cross-validation	0.7377645502645502
139	Cross-validation	0.5372628726287263
140	Cross-validation	0.7808880308880308
141	Cross-validation	0.6981981981981982
142	Cross-validation	0.7361647361647363
143	Cross-validation	0.701388888888889
144	Cross-validation	0.6890243902439024
145	Cross-validation	0.592020592020592
146	Cross-validation	0.5382882882882883
147	Cross-validation	0.7853925353925354
148	Cross-validation	0.7622354497354498
149	Cross-validation	0.6636178861788619
150	Cross-validation	0.6988416988416988
151	Cross-validation	0.7519305019305019
152	Cross-validation	0.724903474903475
153	Cross-validation	0.7228835978835979
154	Cross-validation	0.5938346883468835
155	Cross-validation	0.6853281853281853
156	Cross-validation	0.7902187902187903
157	Cross-validation	0.6531531531531531
158	Cross-validation	0.7225529100529101
159	Cross-validation	0.6426151761517616
160	Cross-validation	0.5791505791505792
161	Cross-validation	0.6927284427284427
162	Cross-validation	0.7477477477477477
163	Cross-validation	0.8323412698412698
164	Cross-validation	0.7130758807588076
165	Cross-validation	0.638030888030888
166	Cross-validation	0.7203989703989704
167	Cross-validation	0.668918918918919
168	Cross-validation	0.6428571428571429
169	Cross-validation	0.736449864498645
170	Cross-validation	0.7364864864864864
171	Cross-validation	0.7397039897039897
172	Cross-validation	0.6702059202059202
173	Cross-validation	0.738095238095238
174	Cross-validation	0.6866531165311653
175	Cross-validation	0.7351994851994852
176	Cross-validation	0.8252895752895753
177	Cross-validation	0.6911196911196912
178	Cross-validation	0.6339285714285714
179	Cross-validation	0.6852981029810298
180	Cross-validation	0.7319819819819819
181	Cross-validation	0.5955598455598456
182	Cross-validation	0.7110682110682109
183	Cross-validation	0.656084656084656
184	Cross-validation	0.6344850948509486
185	Cross-validation	0.6473616473616474
186	Cross-validation	0.6184041184041185
187	Cross-validation	0.7477477477477478
188	Cross-validation	0.6812169312169312
189	Cross-validation	0.7140921409214093
190	Cross-validation	0.6798584298584299
191	Cross-validation	0.685971685971686
192	Cross-validation	0.6808236808236808
193	Cross-validation	0.6375661375661377
194	Cross-validation	0.774728997289973
195	Cross-validation	0.7316602316602316
196	Cross-validation	0.74002574002574
197	Cross-validation	0.7464607464607464
198	Cross-validation	0.7294973544973545
199	Cross-validation	0.6700542005420054
200	Cross-validation	0.7123552123552124
201	Cross-validation	0.675997425997426
202	Cross-validation	0.7464607464607464
203	Cross-validation	0.6428571428571428
204	Cross-validation	0.6626016260162602
205	Cross-validation	0.6599099099099099
206	Cross-validation	0.7551480051480052
207	Cross-validation	0.6611969111969112
208	Cross-validation	0.7447089947089947
209	Cross-validation	0.6991869918699187
210	Cross-validation	0.752895752895753
211	Cross-validation	0.733912483912484
212	Cross-validation	0.7007722007722008
213	Cross-validation	0.6147486772486773
214	Cross-validation	0.6808943089430894
215	Cross-validation	0.7297297297297298
216	Cross-validation	0.7220077220077219
217	Cross-validation	0.6338481338481339
218	Cross-validation	0.6474867724867726
219	Cross-validation	0.6978319783197833
220	Cross-validation	0.6505791505791505
221	Cross-validation	0.7313384813384813
222	Cross-validation	0.714929214929215
223	Cross-validation	0.6908068783068784
224	Cross-validation	0.573509485094851
225	Cross-validation	0.6734234234234234
226	Cross-validation	0.7519305019305019
227	Cross-validation	0.7368082368082369
228	Cross-validation	0.7311507936507937
229	Cross-validation	0.7262872628726288
230	Cross-validation	0.6644144144144144
231	Cross-validation	0.6225868725868726
232	Cross-validation	0.6965894465894467
233	Cross-validation	0.7609126984126984
234	Cross-validation	0.6995257452574526
235	Cross-validation	0.6576576576576576
236	Cross-validation	0.7406692406692408
237	Cross-validation	0.6875804375804376
238	Cross-validation	0.6997354497354498
239	Cross-validation	0.8116531165311652
240	Cross-validation	0.6618404118404118
241	Cross-validation	0.6991634491634493
242	Cross-validation	0.7467824967824968
243	Cross-validation	0.6574074074074074
244	Cross-validation	0.7665989159891599
245	Cross-validation	0.6396396396396398
246	Cross-validation	0.6975546975546976
247	Cross-validation	0.7123552123552124
248	Cross-validation	0.5823412698412698
249	Cross-validation	0.7621951219512195
250	Cross-validation	0.6389961389961389
251	Cross-validation	0.6981981981981982
252	Cross-validation	0.7210424710424711
253	Cross-validation	0.6223544973544974
254	Cross-validation	0.736449864498645
255	Cross-validation	0.7561132561132562
256	Cross-validation	0.6776061776061776
257	Cross-validation	0.7014157014157014
258	Cross-validation	0.7744708994708995
259	Cross-validation	0.6612466124661246
260	Cross-validation	0.6528314028314028
261	Cross-validation	0.706885456885457
262	Cross-validation	0.7081724581724582
263	Cross-validation	0.6921296296296298
264	Cross-validation	0.6365176151761518
265	Cross-validation	0.6254826254826256
266	Cross-validation	0.7937580437580437
267	Cross-validation	0.6843629343629344
268	Cross-validation	0.6498015873015873
269	Cross-validation	0.6778455284552845
270	Cross-validation	0.7789575289575289
271	Cross-validation	0.6743886743886744
272	Cross-validation	0.6869369369369369
273	Cross-validation	0.691137566137566
274	Cross-validation	0.6666666666666666
275	Cross-validation	0.7126769626769627
276	Cross-validation	0.7754182754182755
277	Cross-validation	0.702059202059202
278	Cross-validation	0.6917989417989417
279	Cross-validation	0.6792005420054201
280	Cross-validation	0.714929214929215
281	Cross-validation	0.7345559845559846
282	Cross-validation	0.7249034749034751
283	Cross-validation	0.6891534391534392
284	Cross-validation	0.7042682926829269
285	Cross-validation	0.7442084942084943
286	Cross-validation	0.638030888030888
287	Cross-validation	0.546010296010296
288	Cross-validation	0.7427248677248678
289	Cross-validation	0.6927506775067751
290	Cross-validation	0.6605534105534105
291	Cross-validation	0.7487129987129987
292	Cross-validation	0.6914414414414414
293	Cross-validation	0.6951058201058201
294	Cross-validation	0.5697831978319783
295	Cross-validation	0.6917631917631918
