maxdepth,ROC,Sens,Spec,ROCSD,SensSD,SpecSD,model
1,0.7259162376662377,0.5347372372372372,0.9170952380952381,0.04040749599677973,0.07554410461826529,0.03878310215457583,Decision_Tree
2,0.7562062567794275,0.634003003003003,0.8044970963995354,0.05496231800260338,0.09325887217452987,0.07484292423299568,Decision_Tree
3,0.7569901635084562,0.6423783783783784,0.7929732868757259,0.056666128640687055,0.08851964783732574,0.07188490025969542,Decision_Tree
4,0.7503354033475985,0.6574819819819819,0.7725702671312428,0.05635005610525551,0.08653165351088275,0.07634180846133436,Decision_Tree
5,0.7419343624983868,0.6638063063063063,0.7526678281068525,0.05674421024161423,0.08485139581550806,0.07863899641210044,Decision_Tree
6,0.7343503390149732,0.6768153153153154,0.6955853658536585,0.05941045863722864,0.08756957283372778,0.07565298118980288,Decision_Tree
1,0.7386876562974124,0.5733033033033033,0.9040720092915214,0.04135770358449935,0.07319164325385528,0.040434054328182076,Decision_Tree
2,0.7419076982034299,0.6303993993993994,0.7999442508710801,0.0514534661783655,0.08251935914639331,0.07543218039724484,Decision_Tree
3,0.7442716235399163,0.6487717717717718,0.7750998838559814,0.05392411316004498,0.07831743867084193,0.07383999783128332,Decision_Tree
4,0.7432451035530304,0.6600435435435436,0.7591103368176539,0.054458700490749634,0.07521412224431884,0.07384244138089568,Decision_Tree
5,0.7380562570410132,0.6677057057057058,0.7413089430894308,0.0573022970113163,0.07525883881073539,0.07968690962283725,Decision_Tree
6,0.7330789173319661,0.6644009009009009,0.7079779326364692,0.05760122768241866,0.07978228016503798,0.08195627922376143,Decision_Tree
1,0.7459536025572611,0.5787492492492493,0.9131579558652729,0.04413718794018878,0.07869903590550291,0.040668807475476534,Decision_Tree
2,0.7406721433977531,0.6247792792792792,0.8326469221835076,0.04792427984777335,0.07898045789039519,0.07265031366982742,Decision_Tree
3,0.7357949539260514,0.6425540540540541,0.7986236933797909,0.050386090716959264,0.07667746010986554,0.07026495539622046,Decision_Tree
4,0.7324755495914033,0.6535750750750751,0.7712868757259002,0.05043436767067868,0.07527013030534314,0.07135078765165791,Decision_Tree
5,0.7294789057350033,0.6616846846846847,0.7494703832752613,0.050701860702676245,0.07483686226208501,0.07355590008178144,Decision_Tree
6,0.7242410127897932,0.6681096096096096,0.7095586527293845,0.051920813215370544,0.07570476473624686,0.07732794026859381,Decision_Tree
1,0.7478547571962206,0.5721891891891892,0.923520325203252,0.04130827570273331,0.07392206970265032,0.03878993870569578,Decision_Tree
2,0.7466487554627799,0.6181186186186186,0.8484262485481998,0.04707892318274531,0.07697809276365286,0.06531101231105538,Decision_Tree
3,0.7449896560323389,0.6418033033033033,0.8065249709639953,0.04841442326715061,0.07834934486830893,0.07211662799798857,Decision_Tree
4,0.7437883109590426,0.6553243243243243,0.7775807200929152,0.04833799835911,0.07804187584914495,0.07436771732553636,Decision_Tree
5,0.7420430944882165,0.6655225225225225,0.7564157955865273,0.04952693884168654,0.07751587490904535,0.07678795855388335,Decision_Tree
6,0.7431427429171331,0.6792927927927928,0.7234994192799071,0.05140344730727047,0.07672081796840793,0.07324023853519379,Decision_Tree
1,0.7544051385880655,0.5995315315315315,0.9092787456445993,0.03887381158339754,0.07453572739209927,0.03818459543777748,Decision_Tree
2,0.7958506673049356,0.689981981981982,0.8087851335656213,0.049906162338998444,0.08004997001639665,0.07405950930608067,Decision_Tree
3,0.798616772696041,0.6942087087087088,0.8040360046457607,0.0486021690757981,0.07742566199662909,0.0738917070813623,Decision_Tree
4,0.7923864918925895,0.7055720720720721,0.7819198606271777,0.04955162486579463,0.07588273870551862,0.07207202516530095,Decision_Tree
5,0.7818937652809604,0.7110285285285285,0.7614088269454123,0.0509762527554548,0.0767602822660513,0.07031028964506787,Decision_Tree
6,0.7720427160610087,0.7031486486486487,0.7241800232288037,0.05221392190907079,0.08569981640161983,0.0744825289851398,Decision_Tree
1,0.7348352769145452,0.5550735735735736,0.9145969802555168,0.03796199731941457,0.07397527829743135,0.03867813811179153,Decision_Tree
2,0.7190962595871132,0.6016651651651652,0.8043948896631824,0.04591086590064458,0.08129964845656909,0.08332013401854961,Decision_Tree
3,0.7161623413483169,0.6153993993993994,0.775787456445993,0.048068426169557484,0.07787932032526353,0.08430266475606117,Decision_Tree
4,0.7137963246347393,0.6266381381381382,0.7574819976771197,0.049007163547141366,0.07761421099232431,0.08235018600392381,Decision_Tree
5,0.711284787400641,0.6346741741741742,0.7388524970963996,0.05113218530316375,0.07683395006641747,0.08165290411260988,Decision_Tree
6,0.708558781342318,0.6430495495495495,0.6981939605110337,0.053211701066868955,0.08266199703857183,0.0847017195359841,Decision_Tree
1,0.7436809204675058,0.5787822822822822,0.9085795586527293,0.04140918654558771,0.07462304621898025,0.03997489809834593,Decision_Tree
2,0.7407318163110846,0.6204714714714715,0.8339059233449477,0.04669405590508848,0.07498897136796089,0.059992817395389766,Decision_Tree
3,0.739223030085835,0.6460735735735735,0.7932636469221835,0.04882139571474023,0.07614279046556069,0.06770744914111447,Decision_Tree
4,0.7359470650964554,0.6604039039039039,0.7635447154471545,0.05006116163093428,0.07714835747800888,0.07191851914095058,Decision_Tree
5,0.7341823216945168,0.6676531531531532,0.7374808362369338,0.050621024922897405,0.07665395857236658,0.07784490976117571,Decision_Tree
6,0.7328356505460164,0.660430930930931,0.713548199767712,0.051758110930433275,0.07975647650298473,0.07948542717317422,Decision_Tree
1,0.7331708938904061,0.5528168168168168,0.9135249709639953,0.039940362284190165,0.07295486000934248,0.043561531628646,Decision_Tree
2,0.7361796103594884,0.6211291291291291,0.7957886178861788,0.05094238996683847,0.07896895212419605,0.0770132704411056,Decision_Tree
3,0.7376927864275425,0.6342912912912912,0.7776840882694541,0.054168133641382295,0.07649718216461142,0.07666816648783871,Decision_Tree
4,0.7331854629019263,0.6417297297297297,0.7636515679442508,0.05446540557099432,0.07536859302451357,0.07564698396015815,Decision_Tree
5,0.7274317662610346,0.6503648648648649,0.7453507549361208,0.05647797060136604,0.07637478078160533,0.07628314171048961,Decision_Tree
6,0.7194167019807264,0.6671816816816817,0.7023263646922183,0.058060997024269895,0.08155930110565703,0.07932236953719334,Decision_Tree
1,0.7506323649433405,0.5904099099099099,0.9108548199767712,0.037142429920152244,0.06851337214279311,0.0394367073886896,Decision_Tree
2,0.7621568511019731,0.6544984984984985,0.8136794425087108,0.04771836534895428,0.07902666992004816,0.07074660671380413,Decision_Tree
3,0.7607630775374677,0.6650495495495495,0.79565737514518,0.05026008746454691,0.07745641862628755,0.07137178233619487,Decision_Tree
4,0.7550427082134399,0.675918918918919,0.7776051103368177,0.05131102961294367,0.07423926710170455,0.0698611710507708,Decision_Tree
5,0.7468235801132143,0.6849984984984985,0.7559570267131243,0.0516670627785669,0.07258326309807314,0.07094077599898982,Decision_Tree
6,0.7402634572726036,0.6857282282282282,0.7219628339140535,0.051119863150943495,0.07573572473228664,0.07302745631667037,Decision_Tree
1,0.7420127287566312,0.5775585585585585,0.9064668989547038,0.0411646072537278,0.07393229678592161,0.0424345767299779,Decision_Tree
2,0.7478935887106619,0.6303933933933934,0.8428385598141696,0.046631107805283366,0.07686515014482907,0.06918881274878816,Decision_Tree
3,0.7368180401656012,0.6480330330330331,0.7970511033681765,0.04820689228424541,0.07771355368145162,0.07500870964237874,Decision_Tree
4,0.7326518827189559,0.6630420420420421,0.7639059233449478,0.05084841355043552,0.0788549758083732,0.07603499616758316,Decision_Tree
5,0.729788562081245,0.6692807807807808,0.7416109175377468,0.05218776169447439,0.07710342881406602,0.07681715391424405,Decision_Tree
6,0.726623140998141,0.6636816816816817,0.7159825783972126,0.053490028716048625,0.08250838859290076,0.08057647408908296,Decision_Tree
1,0.7401076529491164,0.5651711711711712,0.9150441347270616,0.04120096658448488,0.07804958531964733,0.04166232436626256,Decision_Tree
2,0.7380983509642046,0.6170345345345345,0.8182334494773519,0.05020094823846609,0.0828527129779716,0.07304886408632065,Decision_Tree
3,0.7378449124211319,0.6285885885885886,0.7981881533101045,0.05319425106384143,0.08101224000317571,0.07901586919857856,Decision_Tree
4,0.7330572506304214,0.6416891891891892,0.7731811846689896,0.05429532653401549,0.08184091049711446,0.07922353205962185,Decision_Tree
5,0.728754375455595,0.6527387387387388,0.744588850174216,0.055150412760956204,0.07970159019055331,0.08018806102823689,Decision_Tree
6,0.7236539762759275,0.6631996996996997,0.7002160278745645,0.05873928266253605,0.08380187773474666,0.08211367286057208,Decision_Tree
1,0.7330405274612591,0.5537732732732733,0.9123077816492451,0.04079455953542918,0.07193090996262508,0.042198698772487574,Decision_Tree
2,0.7505536490323076,0.6425195195195196,0.7958455284552846,0.05436595006603093,0.08831167362604983,0.074494011915119,Decision_Tree
3,0.7512630766655157,0.6538783783783784,0.7795725900116144,0.0567600538876331,0.08232976898300674,0.07671494576479759,Decision_Tree
4,0.7464360253110253,0.6608258258258258,0.7662706155632985,0.05649794267459447,0.07833303655170464,0.07829073668800818,Decision_Tree
5,0.7427475733573294,0.6643318318318319,0.7550325203252033,0.05615101621583729,0.07837348071215265,0.07809003217443547,Decision_Tree
6,0.7404561451695598,0.6684189189189189,0.7204576074332172,0.0551711939241248,0.07678682518209755,0.07923253630849239,Decision_Tree
1,0.742691598392818,0.5830765765765766,0.9023066202090593,0.04050671672405435,0.07292469780209158,0.043438851270107826,Decision_Tree
2,0.7522287823537823,0.6512792792792793,0.8075052264808362,0.050743337739643485,0.08272740146035298,0.06901221206067504,Decision_Tree
3,0.7504620308461772,0.6596966966966967,0.7922891986062718,0.0519056209102743,0.0799591994125873,0.07019209143265277,Decision_Tree
4,0.7428864108010449,0.6723828828828828,0.7639198606271776,0.053534042754178016,0.0782730485170299,0.07169843209864218,Decision_Tree
5,0.7372174792388207,0.6783153153153153,0.743253193960511,0.05371119097935398,0.07794809642684937,0.075322003168697,Decision_Tree
6,0.7333151261017115,0.6749294294294295,0.7105214866434378,0.05539271151526485,0.08626338242479524,0.07481331842827936,Decision_Tree
1,0.7227529402224524,0.5336951951951951,0.9118106852497097,0.04182834369209095,0.07969674606235935,0.04106091827760214,Decision_Tree
2,0.7381333615845811,0.615472972972973,0.8075679442508711,0.04873609245048729,0.08582092215798692,0.08065540373945713,Decision_Tree
3,0.737349212888847,0.6327417417417418,0.7737851335656214,0.05397823937307569,0.08408901610105898,0.07519718297710684,Decision_Tree
4,0.7348408857463735,0.6395240240240241,0.7621428571428571,0.05445644792561104,0.08123031615830462,0.07453409749294403,Decision_Tree
5,0.7315429933417739,0.647942942942943,0.745753774680604,0.053378467124567126,0.081325961826069,0.0750075454151078,Decision_Tree
6,0.7313791112541113,0.6521021021021021,0.7076655052264809,0.05318596568920741,0.08533549784584799,0.08032753051144988,Decision_Tree
1,0.7361394356028502,0.5524774774774774,0.919801393728223,0.0419748650455029,0.07303629004009973,0.039115874630635594,Decision_Tree
2,0.7299127864798597,0.6012927927927928,0.821047619047619,0.05139550618242901,0.07795072704414141,0.07076413380396772,Decision_Tree
3,0.7296445618091959,0.6196411411411411,0.7924645760743322,0.052682546212172596,0.07752881878470308,0.07736818972892685,Decision_Tree
4,0.7268810609389877,0.6320465465465466,0.7685900116144019,0.05523473386523851,0.07553063158087746,0.07695450311889923,Decision_Tree
5,0.725512603631506,0.6450015015015015,0.7457317073170732,0.056171571787234705,0.0753667964648742,0.07874204468993848,Decision_Tree
6,0.7194622540659126,0.6402342342342342,0.7108548199767712,0.056660464496647564,0.08099409577930208,0.08129302273952649,Decision_Tree
1,0.7415005597932427,0.5675075075075076,0.915493612078978,0.041901525631191136,0.07718266990865613,0.04143697498570748,Decision_Tree
2,0.7346414079584811,0.6098963963963964,0.8313554006968641,0.04586904605339494,0.0778402348919213,0.0690788976021321,Decision_Tree
3,0.73119034016595,0.6278333333333334,0.7931556329849013,0.04841446891481929,0.07556490637987667,0.07496012562275749,Decision_Tree
4,0.7272269734891686,0.6380930930930931,0.7686202090592335,0.048286207332746,0.07807972868227143,0.0751784008205704,Decision_Tree
5,0.7241370660730417,0.6450465465465466,0.7473948896631823,0.04984008070922569,0.07669194314146598,0.07561022509807339,Decision_Tree
6,0.7293255790633839,0.6510345345345345,0.7134425087108014,0.0531974503989251,0.07896072966069684,0.07672865982820425,Decision_Tree
1,0.7347647141915434,0.5701171171171171,0.8994123112659698,0.041011233748376966,0.07500033585599639,0.04145604253711524,Decision_Tree
2,0.7286597324676592,0.6152132132132132,0.8187514518002322,0.044670489037581876,0.07778323297647696,0.06929789505725459,Decision_Tree
3,0.724399861969984,0.63925675675675675,0.7782915214866435,0.047515790892613485,0.07351820018174353,0.06773746309973096,Decision_Tree
4,0.7210922054458639,0.6519294294294294,0.7520998838559814,0.04985440776784159,0.07930536107862093,0.07417229680851967,Decision_Tree
5,0.7184243612078978,0.6584414414414415,0.7293855981416957,0.05064492502238002,0.08095702448312722,0.0754817809964742,Decision_Tree
6,0.7155401651651652,0.6417207207207207,0.6980104529616725,0.04946268157871935,0.08294252513245506,0.07992923399168367,Decision_Tree
1,0.7194230467401199,0.5203153153153153,0.9185307781649245,0.04028036488080377,0.07283530143580973,0.04091218401218788,Decision_Tree
2,0.7113169973108997,0.5750165165165165,0.8118536585365853,0.04547755974759651,0.08036774426390622,0.07893044317336083,Decision_Tree
3,0.7115610305427379,0.5949519519519519,0.7860952380952381,0.04816585126923296,0.07771606016893973,0.0777391713136024,Decision_Tree
4,0.7088995886130033,0.6058948948948949,0.7693693379790941,0.0493144196405131,0.0753353304322488,0.07565243511911166,Decision_Tree
5,0.7060809145382316,0.6162177177177177,0.7472380952380953,0.050605194476404824,0.07554008884511859,0.07926164435757174,Decision_Tree
6,0.709103263978264,0.6316246246246247,0.7031056910569106,0.0523049703283033,0.0792982748112888,0.07767012933648465,Decision_Tree
1,0.7396821473040985,0.569987987987988,0.9093763066202091,0.042348410891372146,0.07653496195411916,0.04170997001623177,Decision_Tree
2,0.7364332664546079,0.6193093093093093,0.8236318234610918,0.04839562011632747,0.08220950206896623,0.0691501971093588,Decision_Tree
3,0.733602911273643,0.6369834834834834,0.7931579558652729,0.050438372730249134,0.0788429218093072,0.07123755954159512,Decision_Tree
4,0.7288203469148591,0.6475690690690691,0.7682531939605111,0.0513745704117192,0.0781297863024831,0.0765064559461408,Decision_Tree
5,0.7246501475342939,0.6553513513513514,0.74595818815331,0.05261524886531803,0.08076967214307726,0.07815158828525232,Decision_Tree
6,0.7206047877145438,0.6459789789789789,0.7084854819976771,0.051284550739773484,0.07873410547890632,0.07856812134576474,Decision_Tree
1,0.7451421377823817,0.5790705705705705,0.9112137049941927,0.042006318581206986,0.07908286916608033,0.03912448781356856,Decision_Tree
2,0.741358575038453,0.6314864864864865,0.804732868757259,0.05052018691898181,0.08503836000617511,0.07009133991654888,Decision_Tree
3,0.738594227066788,0.6429594594594594,0.7836202090592335,0.05388873149886214,0.0849567255124539,0.07289419012498208,Decision_Tree
4,0.7351270054898104,0.6562147147147147,0.7592996515679442,0.05573900939037985,0.08211695028656527,0.07521027992656262,Decision_Tree
5,0.7317082566015493,0.6692042042042042,0.7363658536585366,0.05735267105704515,0.07924192242890203,0.0775558093737985,Decision_Tree
6,0.7268069589624467,0.6794339339339339,0.7007363530778165,0.05599400252639614,0.08354556490360754,0.07792683704799148,Decision_Tree
1,0.7359621354804282,0.5672297297297297,0.9046945412311266,0.04223782929723984,0.07787565974881099,0.040304486632625695,Decision_Tree
2,0.7307108881529614,0.6211096096096096,0.8094610917537747,0.050800350693798006,0.08343275766600194,0.06559517106187916,Decision_Tree
