new_auc	names	model
0.6893162393162393	Otu00004	L2_Logistic_Regression
0.6952991452991453	Otu00012	L2_Logistic_Regression
0.6923076923076923	Otu00013	L2_Logistic_Regression
0.7	Otu00014	L2_Logistic_Regression
0.6948717948717948	Otu00015	L2_Logistic_Regression
0.6914529914529914	Otu00050	L2_Logistic_Regression
0.6923076923076923	Otu00056	L2_Logistic_Regression
0.6961538461538461	Otu00072	L2_Logistic_Regression
0.691025641025641	Otu00092	L2_Logistic_Regression
0.6927350427350427	Otu00112	L2_Logistic_Regression
0.6995726495726495	Otu00299	L2_Logistic_Regression
0.6799145299145299	Otu00659	L2_Logistic_Regression
0.6905982905982906	Otu00742	L2_Logistic_Regression
0.6948717948717948	Otu00768	L2_Logistic_Regression
0.6918803418803419	Otu00822	L2_Logistic_Regression
0.6927350427350427	Otu00958	L2_Logistic_Regression
0.6974358974358974	Otu00961	L2_Logistic_Regression
0.6935897435897436	Otu01087	L2_Logistic_Regression
0.6944444444444444	Otu01123	L2_Logistic_Regression
0.6978632478632478	Otu02300	L2_Logistic_Regression
0.6914529914529914	Otu00004	L2_Logistic_Regression
0.685042735042735	Otu00012	L2_Logistic_Regression
0.6799145299145299	Otu00013	L2_Logistic_Regression
0.6957264957264957	Otu00014	L2_Logistic_Regression
0.6782051282051281	Otu00015	L2_Logistic_Regression
0.6927350427350427	Otu00050	L2_Logistic_Regression
0.6948717948717948	Otu00056	L2_Logistic_Regression
0.6846153846153846	Otu00072	L2_Logistic_Regression
0.6786324786324786	Otu00092	L2_Logistic_Regression
0.694017094017094	Otu00112	L2_Logistic_Regression
0.6957264957264957	Otu00299	L2_Logistic_Regression
0.6816239316239316	Otu00659	L2_Logistic_Regression
0.6782051282051281	Otu00742	L2_Logistic_Regression
0.6914529914529914	Otu00768	L2_Logistic_Regression
0.6841880341880342	Otu00822	L2_Logistic_Regression
0.6974358974358974	Otu00958	L2_Logistic_Regression
0.6743589743589743	Otu00961	L2_Logistic_Regression
0.6841880341880342	Otu01087	L2_Logistic_Regression
0.6854700854700855	Otu01123	L2_Logistic_Regression
0.685042735042735	Otu02300	L2_Logistic_Regression
0.6982905982905983	Otu00004	L2_Logistic_Regression
0.691025641025641	Otu00012	L2_Logistic_Regression
0.7012820512820512	Otu00013	L2_Logistic_Regression
0.7209401709401709	Otu00014	L2_Logistic_Regression
0.6893162393162393	Otu00015	L2_Logistic_Regression
0.6888888888888889	Otu00050	L2_Logistic_Regression
0.7055555555555556	Otu00056	L2_Logistic_Regression
0.7017094017094017	Otu00072	L2_Logistic_Regression
0.6948717948717948	Otu00092	L2_Logistic_Regression
0.7012820512820512	Otu00112	L2_Logistic_Regression
0.7055555555555555	Otu00299	L2_Logistic_Regression
0.6978632478632478	Otu00659	L2_Logistic_Regression
0.6927350427350427	Otu00742	L2_Logistic_Regression
0.6893162393162393	Otu00768	L2_Logistic_Regression
0.6995726495726495	Otu00822	L2_Logistic_Regression
