names	mean_imp	sd_imp
fit_result	0.1956768225008824	0.029245738934349556
Otu00058	0.025429626792401742	0.006934223140492628
Otu00008	0.016456450931553606	0.004955903611073762
Otu00002	0.01436255041482029	0.00390672152070455
Otu00033	0.012185362687135834	0.004576071019843982
Otu00179	0.0121359253793034	NA
Otu00010	0.011740598691555543	0.002408348049969596
Otu00123	0.011711527316651564	0.002900779533152026
Otu00565	0.011655372611454	6.028243963421198e-4
Otu00004	0.011576737267057489	0.0025563195212335715
