names	mean_imp	sd_imp
fit_result	31.110128680246408	7.407666205263899
Otu00058	0.30249896583491975	2.2327364853900633
Otu00008	0.1082276766025557	0.9446130341696601
Otu00811	0.09983426755311298	0.4391144412024314
Otu00266	0.07874262294239262	0.49505241118570104
Otu00691	0.0752399066905588	0.5505173833679182
Otu00012	0.05431576933639275	0.9544774527260731
Otu00659	0.03628813916609187	0.32696264516689605
Otu00002	0.03502304147465442	0.35023041474654354
Otu00014	0.03385049365303232	0.3385049365303226
