	level_1	AUC
97	Cross-validation	0.7271557271557272
97	Testing	0.7943143812709031
98	Cross-validation	0.6832010582010583
98	Testing	0.7031772575250835
99	Cross-validation	0.8184281842818428
99	Testing	0.5819397993311037
100	Cross-validation	0.6705276705276706
101	Cross-validation	0.7226512226512227
102	Cross-validation	0.7722007722007722
103	Cross-validation	0.7599206349206349
104	Cross-validation	0.72289972899729
105	Cross-validation	0.7451737451737452
106	Cross-validation	0.6924066924066924
107	Cross-validation	0.7831402831402832
108	Cross-validation	0.7334656084656084
109	Cross-validation	0.7472899728997291
110	Cross-validation	0.7464607464607464
111	Cross-validation	0.6885456885456885
112	Cross-validation	0.7773487773487774
113	Cross-validation	0.7751322751322752
114	Cross-validation	0.6808943089430894
115	Cross-validation	0.7258687258687259
116	Cross-validation	0.6833976833976834
117	Cross-validation	0.7516087516087517
118	Cross-validation	0.7208994708994708
119	Cross-validation	0.7025745257452575
120	Cross-validation	0.7696267696267696
121	Cross-validation	0.6518661518661519
122	Cross-validation	0.6936936936936937
123	Cross-validation	0.7579365079365079
124	Cross-validation	0.7039295392953929
125	Cross-validation	0.7567567567567568
126	Cross-validation	0.6866151866151866
127	Cross-validation	0.6885456885456885
128	Cross-validation	0.8141534391534392
129	Cross-validation	0.6795392953929539
130	Cross-validation	0.6492921492921494
131	Cross-validation	0.6795366795366795
132	Cross-validation	0.7889317889317891
133	Cross-validation	0.7328042328042327
134	Cross-validation	0.6937669376693767
135	Cross-validation	0.7213642213642214
136	Cross-validation	0.7232947232947233
137	Cross-validation	0.8410553410553411
138	Cross-validation	0.6759259259259259
139	Cross-validation	0.6951219512195121
140	Cross-validation	0.6473616473616474
141	Cross-validation	0.7232947232947233
142	Cross-validation	0.8532818532818534
143	Cross-validation	0.6216931216931216
144	Cross-validation	0.7506775067750677
145	Cross-validation	0.7232947232947233
146	Cross-validation	0.7432432432432432
147	Cross-validation	0.7052767052767053
148	Cross-validation	0.7228835978835979
149	Cross-validation	0.7445799457994581
150	Cross-validation	0.7516087516087516
151	Cross-validation	0.6943371943371943
152	Cross-validation	0.7413127413127413
153	Cross-validation	0.7003968253968254
154	Cross-validation	0.7411924119241193
155	Cross-validation	0.722007722007722
156	Cross-validation	0.7895752895752897
157	Cross-validation	0.7078507078507079
158	Cross-validation	0.7037037037037037
159	Cross-validation	0.6233062330623307
160	Cross-validation	0.6280566280566281
161	Cross-validation	0.7046332046332047
162	Cross-validation	0.7773487773487774
163	Cross-validation	0.7592592592592593
164	Cross-validation	0.6693766937669376
165	Cross-validation	0.6917631917631917
166	Cross-validation	0.7644787644787645
167	Cross-validation	0.6396396396396398
168	Cross-validation	0.8161375661375662
169	Cross-validation	0.6897018970189701
170	Cross-validation	0.7039897039897041
171	Cross-validation	0.7007722007722008
172	Cross-validation	0.723938223938224
173	Cross-validation	0.6858465608465608
174	Cross-validation	0.7005420054200542
175	Cross-validation	0.7927927927927928
176	Cross-validation	0.731016731016731
177	Cross-validation	0.752895752895753
178	Cross-validation	0.7275132275132274
179	Cross-validation	0.755420054200542
180	Cross-validation	0.7155727155727155
181	Cross-validation	0.7902187902187903
182	Cross-validation	0.6994851994851995
183	Cross-validation	0.71494708994709
184	Cross-validation	0.6551490514905149
185	Cross-validation	0.6743886743886743
186	Cross-validation	0.7857142857142858
187	Cross-validation	0.7490347490347491
188	Cross-validation	0.6977513227513228
189	Cross-validation	0.8123306233062331
190	Cross-validation	0.7496782496782497
191	Cross-validation	0.7548262548262548
192	Cross-validation	0.776061776061776
193	Cross-validation	0.7050264550264549
194	Cross-validation	0.7405149051490516
195	Cross-validation	0.7078507078507079
196	Cross-validation	0.7310167310167311
197	Cross-validation	0.8069498069498069
198	Cross-validation	0.7380952380952381
199	Cross-validation	0.7323848238482384
200	Cross-validation	0.7606177606177607
201	Cross-validation	0.734877734877735
202	Cross-validation	0.752895752895753
203	Cross-validation	0.7473544973544973
204	Cross-validation	0.6409214092140922
205	Cross-validation	0.7818532818532818
206	Cross-validation	0.7805662805662806
207	Cross-validation	0.7046332046332047
208	Cross-validation	0.7678571428571428
209	Cross-validation	0.6517615176151761
210	Cross-validation	0.7200772200772201
