	level_1	AUC
97	Testing	0.6743311036789298
98	Cross-validation	0.6633597883597884
98	Testing	0.6262626262626263
99	Cross-validation	0.693121693121693
99	Testing	0.6751353602665556
100	Cross-validation	0.8365508365508365
101	Cross-validation	0.6261261261261262
102	Cross-validation	0.6805555555555555
103	Cross-validation	0.7341269841269842
104	Cross-validation	0.6468253968253969
105	Cross-validation	0.7355212355212356
106	Cross-validation	0.5984555984555986
107	Cross-validation	0.6547619047619048
108	Cross-validation	0.623015873015873
109	Cross-validation	0.7447089947089947
110	Cross-validation	0.6280566280566281
111	Cross-validation	0.7245817245817247
112	Cross-validation	0.7123015873015873
113	Cross-validation	0.6283068783068784
114	Cross-validation	0.6838624338624337
115	Cross-validation	0.6634491634491635
116	Cross-validation	0.7451737451737452
117	Cross-validation	0.6633597883597884
118	Cross-validation	0.6951058201058201
119	Cross-validation	0.7460317460317462
120	Cross-validation	0.6563706563706564
121	Cross-validation	0.6737451737451737
122	Cross-validation	0.6732804232804233
123	Cross-validation	0.7751322751322751
124	Cross-validation	0.7473544973544974
125	Cross-validation	0.7683397683397684
126	Cross-validation	0.685971685971686
127	Cross-validation	0.6646825396825398
128	Cross-validation	0.7228835978835979
129	Cross-validation	0.7103174603174603
130	Cross-validation	0.6911196911196911
131	Cross-validation	0.6628056628056628
132	Cross-validation	0.6779100529100529
133	Cross-validation	0.7784391534391534
134	Cross-validation	0.7308201058201058
135	Cross-validation	0.7213642213642214
136	Cross-validation	0.5900900900900901
137	Cross-validation	0.7063492063492063
138	Cross-validation	0.7453703703703703
139	Cross-validation	0.7390873015873016
140	Cross-validation	0.7747747747747747
141	Cross-validation	0.7535392535392536
142	Cross-validation	0.5998677248677249
143	Cross-validation	0.7109788359788358
144	Cross-validation	0.6865079365079365
145	Cross-validation	0.678893178893179
146	Cross-validation	0.6428571428571429
147	Cross-validation	0.6752645502645503
148	Cross-validation	0.7645502645502645
149	Cross-validation	0.7797619047619048
150	Cross-validation	0.6081081081081081
151	Cross-validation	0.6550836550836551
152	Cross-validation	0.7050264550264551
153	Cross-validation	0.701058201058201
154	Cross-validation	0.7189153439153438
155	Cross-validation	0.6840411840411841
156	Cross-validation	0.7239382239382239
157	Cross-validation	0.708994708994709
158	Cross-validation	0.6554232804232805
159	Cross-validation	0.7294973544973545
160	Cross-validation	0.657014157014157
161	Cross-validation	0.7548262548262549
162	Cross-validation	0.6223544973544973
163	Cross-validation	0.7076719576719576
164	Cross-validation	0.7916666666666667
165	Cross-validation	0.7097812097812097
166	Cross-validation	0.6389961389961389
167	Cross-validation	0.7394179894179895
168	Cross-validation	0.6772486772486772
169	Cross-validation	0.701058201058201
170	Cross-validation	0.6499356499356499
171	Cross-validation	0.5604890604890604
172	Cross-validation	0.738095238095238
173	Cross-validation	0.7949735449735451
174	Cross-validation	0.7228835978835979
175	Cross-validation	0.7001287001287001
176	Cross-validation	0.6872586872586873
177	Cross-validation	0.7533068783068784
178	Cross-validation	0.6957671957671957
179	Cross-validation	0.6666666666666666
180	Cross-validation	0.694980694980695
181	Cross-validation	0.7220077220077221
182	Cross-validation	0.6335978835978836
183	Cross-validation	0.6997354497354498
184	Cross-validation	0.6474867724867724
185	Cross-validation	0.6808236808236808
186	Cross-validation	0.6628056628056629
187	Cross-validation	0.6335978835978836
188	Cross-validation	0.7414021164021164
189	Cross-validation	0.6501322751322751
190	Cross-validation	0.7072072072072072
191	Cross-validation	0.6962676962676962
192	Cross-validation	0.6706349206349207
193	Cross-validation	0.7546296296296297
194	Cross-validation	0.6349206349206349
195	Cross-validation	0.7413127413127414
196	Cross-validation	0.5933075933075933
197	Cross-validation	0.6970899470899472
198	Cross-validation	0.5787037037037037
199	Cross-validation	0.7486772486772486
200	Cross-validation	0.7335907335907336
201	Cross-validation	0.6467181467181468
202	Cross-validation	0.6653439153439153
203	Cross-validation	0.7380952380952381
204	Cross-validation	0.6878306878306878
205	Cross-validation	0.722007722007722
206	Cross-validation	0.7290862290862291
207	Cross-validation	0.6904761904761905
208	Cross-validation	0.6468253968253969
209	Cross-validation	0.8207671957671958
210	Cross-validation	0.7104247104247104
211	Cross-validation	0.6441441441441441
212	Cross-validation	0.6970899470899471
213	Cross-validation	0.6223544973544973
214	Cross-validation	0.7374338624338626
215	Cross-validation	0.6467181467181468
216	Cross-validation	0.7625482625482626
217	Cross-validation	0.7566137566137566
218	Cross-validation	0.6362433862433863
219	Cross-validation	0.7096560846560847
220	Cross-validation	0.7805662805662806
221	Cross-validation	0.6441441441441441
222	Cross-validation	0.7354497354497355
223	Cross-validation	0.6527777777777779
224	Cross-validation	0.6580687830687831
225	Cross-validation	0.711068211068211
226	Cross-validation	0.6673101673101673
227	Cross-validation	0.6970899470899471
228	Cross-validation	0.6395502645502645
229	Cross-validation	0.7896825396825398
230	Cross-validation	0.6074646074646075
231	Cross-validation	0.7413127413127413
232	Cross-validation	0.6481481481481481
233	Cross-validation	0.7321428571428571
234	Cross-validation	0.67989417989418
235	Cross-validation	0.732947232947233
236	Cross-validation	0.8314028314028314
237	Cross-validation	0.5694444444444444
238	Cross-validation	0.7354497354497355
239	Cross-validation	0.6514550264550264
240	Cross-validation	0.5797940797940798
241	Cross-validation	0.6801801801801801
242	Cross-validation	0.6759259259259259
243	Cross-validation	0.693121693121693
244	Cross-validation	0.6964285714285714
245	Cross-validation	0.7902187902187904
246	Cross-validation	0.6776061776061777
247	Cross-validation	0.6752645502645503
248	Cross-validation	0.7017195767195767
249	Cross-validation	0.6349206349206349
250	Cross-validation	0.666023166023166
251	Cross-validation	0.6673101673101673
