	max_features	n_estimators	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
0	10	1000	0.6961564573132829	0.7024736684704331	0.6780071503363563	0.7158880814034185	0.7143593075983259	0.7093921505413542	0.7215742058900968	0.6980451559253202	0.7083459645158563	0.711987815675129	0.7180328499898248	0.7023667887203852	0.6859562417427025	0.7096820694957205	0.7328168548668486	0.7049178211401332	0.7267295674665636	0.693310599206723	0.7154786151480713	0.7104650249739536	0.7048703687065435	0.713285149260759	0.683227414176425	0.7201245420516514	0.6940045274866703	0.6971810762043776	0.690081785080074	0.7119514142333331	0.7195905950704669	0.7126123790540166	0.7151369039077475	0.6975456891996527	0.7040878700021931	0.6624158518407836	0.698924984502386	0.6956416494580693	0.6722776256577278	0.6934515691694324	0.6967074774278296	0.7205379033970685	0.6992657715179803	0.6916776652746041	0.6940988137572257	0.6815118855834075	0.7076614122789149	0.6984347693663585	0.6924802063093813	0.7086844366321096	0.7119667199954346	0.6901710868765374	0.6949177512727476	0.6994767149687198	0.7286907052780932	0.7071264750092837	0.7114769502890147	0.7143596335793946	0.7064220702916882	0.7028241721909281	0.7066817010336796	0.6890414573714725	0.7021029422457372	0.6974532687286233	0.6870206937186778	0.6966166528293208	0.6875392318383234	0.6975634483279768	0.6909545431711311	0.7281252782683842	0.7197445762489006	0.6860317926100032	0.681834872764751	0.7103420947435382	0.708875923984498	0.7188334725075641	0.7012665061865535	0.7068205059082049	0.7074337737260834	0.7235311967019283	0.6948045380808883	0.6860489151243258	0.6950913653867548	0.7083939047532564	0.7125673516259629	0.7111746800887854	0.7440294218301	0.7026190059788865	0.7088657972174337	0.6968197113418617	0.6960873880306746	0.7273107560112911	0.698827996292531	0.7121225366107771	0.708702403293929	0.6939261795883559	0.6984739351409649	0.6976942634965905	0.6926667382156744	0.6820683559546178	0.6814631105408545	0.6941967885853213
1	80	1000	0.7536652186967954	0.7474488851674329	0.727996745634563	0.7632930301950959	0.7599138173452198	0.7612918457593979	0.781578557220201	0.7500851284380093	0.7530413636677638	0.7606958465967923	0.757706883801956	0.7588422171415886	0.7366796271000788	0.7498539768302398	0.7810936805663659	0.7455265377684803	0.7723800994916911	0.7456175095089045	0.7656904588003705	0.7497653283305349	0.7523538202125187	0.7603405882905946	0.7523441845858161	0.7618293942141316	0.7416887442934296	0.7463054370012123	0.7388432708912426	0.7697786748029406	0.7719998701013822	0.7617766129743482	0.7563020258445532	0.7391400988425317	0.7563078064198023	0.7082521747241447	0.7480495291432013	0.7511884565759317	0.7262167225045212	0.7429844015956509	0.7476567209542261	0.7647778773004322	0.7531289007622072	0.7533338214040679	0.7529477070044516	0.7370508341218273	0.7581172819561011	0.7475369437648558	0.7497694913456799	0.7490861392662662	0.7647809279093499	0.751894290004824	0.7412367059781819	0.7474851464740713	0.7786714954172335	0.7574663014317383	0.7621919332090747	0.7654962878597151	0.7578329817542423	0.755736179430337	0.7511739008705783	0.748095512826878	0.7468379125632423	0.7600946480861861	0.7389078168111579	0.746513021212032	0.742685577719332	0.7568026376746513	0.7336124845691173	0.7592765947567779	0.7643112282267335	0.7344659734087	0.7336597828540337	0.7649991620584888	0.7643600176164574	0.7597169050939584	0.7594867514487039	0.7579063231572254	0.7648970095344224	0.7673168847890415	0.7381323318714433	0.7482370266474611	0.7446539218145118	0.7577139329340363	0.7676076992737956	0.7564767843956804	0.7790210251983832	0.7392403979123118	0.7569474089703372	0.7398181558149204	0.7492959159249912	0.7744653593497857	0.7625666215885232	0.7547572476035022	0.7609851015774362	0.7495253151759811	0.7490842928187378	0.7453413648395605	0.7454332074198924	0.7357171084367451	0.7310933475785392	0.7558464631300931
2	500	1000	0.816868730553244	0.7982847583504005	0.7896065997733495	0.8170762099963508	0.8232869891686468	0.8173193184696109	0.8393939913834763	0.795043919959923	0.8113002765574008	0.8269512405991998	0.8157743056689984	0.8169041700672798	0.8048512859682907	0.8082114557848753	0.8304705142015372	0.7992294544909341	0.8262747174394759	0.801426907557134	0.8228299156637261	0.7970349936440031	0.812425112439112	0.8215294700766328	0.8057816436129651	0.8049847189951097	0.8043833609973481	0.8088526552088959	0.8011307552574973	0.8289229499400916	0.8276128460377464	0.8172797389626346	0.8163135217321069	0.8008450520357875	0.8164227767730754	0.7722119533180696	0.7968394940885918	0.8145395674553526	0.7810607067637928	0.8008577389387183	0.8041821249091657	0.8161075350620834	0.8187674304780143	0.8122952134875046	0.8086690030800907	0.7980950023345181	0.8170127711441798	0.8011908709045032	0.8069595016334687	0.8094634920154457	0.8198491858093961	0.8101202044014079	0.801764248582473	0.807893596215678	0.8400190459027257	0.808624874518976	0.8240507084272639	0.812934925476924	0.810135609259085	0.8122398137222054	0.8060188744173313	0.8018323002169132	0.8049134339087363	0.8218344522258161	0.7928940347719903	0.8010383104296434	0.800283609535725	0.8154719276981597	0.7936705900773845	0.8058317032277958	0.8182311595888002	0.7895219284428777	0.7923681272113329	0.829238577022767	0.8141467859587881	0.8072695309839102	0.8204678711857345	0.8172300934138291	0.8142684896729196	0.8091171503091301	0.8014321662957489	0.803037613050368	0.8035776552435959	0.81638668062573	0.8213483637365231	0.811793424522083	0.8166272159505733	0.7970356582850362	0.8135695325427468	0.7991748084525897	0.8041195268679402	0.8308523688260187	0.8268603085637369	0.8040714461617274	0.8104371767815957	0.8064089432976319	0.8043391003087992	0.8016897493961641	0.803059635290378	0.8035796765264163	0.7886605136255147	0.8178483090037346
3	1000	1000	0.8229960482285956	0.8021610162569596	0.7928733594977685	0.8259854157471131	0.8249958349829243	0.8214604441691924	0.8440975258483969	0.7984722805451402	0.8170099544275129	0.83308364384615	0.821171579898714	0.8217998238274185	0.8114752242909908	0.8138316553549568	0.8318789099043579	0.8060149833311232	0.8325589147554368	0.8061448439123898	0.8261716753908144	0.8030029636316969	0.8146554722432024	0.8282313495720354	0.8030052114663551	0.809759272956915	0.8099549343350676	0.812682341865082	0.8082904146057456	0.8330040721007932	0.829791674807852	0.821922628269847	0.8244310515939748	0.8056708691065024	0.8230894646602088	0.7769562547685993	0.7967008733917023	0.8183241035647395	0.7910395324749482	0.8053145247528337	0.8074342418442406	0.8204377888385791	0.8199351310351807	0.8140517149313504	0.816777340409278	0.8007580567972865	0.8218238303145283	0.8043387873402805	0.809032545709686	0.8134208040971356	0.8220355351662906	0.8132788248276365	0.8066755010539232	0.8146941695659964	0.847577039769984	0.8083754723088656	0.8282734865456368	0.8180367754425121	0.8137097457756058	0.8154230956005784	0.8132261366776362	0.802774133596371	0.8123127343860608	0.8220752094313256	0.7960812344289819	0.803295068027211	0.8066573755722588	0.8231977711196229	0.8020454724839682	0.8136208253469639	0.8206512520529132	0.7974673649908531	0.8021745409679394	0.8326603742777835	0.8131179723553106	0.8089011780081654	0.8215227666112747	0.8190581008237493	0.8181007067696653	0.8120009666923556	0.8149484664969671	0.8039549444648375	0.8096749913356435	0.8231811771150374	0.8284367706966015	0.8164752860839223	0.820902943804574	0.8041341953487301	0.8228564018758144	0.812360971910188	0.8101441598392818	0.8335061326614961	0.8303416208865124	0.804429800453942	0.811384859135606	0.813690760798308	0.8124121362571772	0.8064217533193081	0.8096449637079305	0.8109016954672443	0.7947782013463012	0.8208795522438816
4	1500	1000	0.8244987368750746	0.8023206258639	0.7913736430512502	0.8265610402587755	0.8249314278635458	0.8183353570852016	0.8427687449324458	0.7969495392249251	0.8204264142013022	0.8299127362358446	0.821583190221972	0.8204895037165446	0.8130986023399849	0.8124409443753645	0.8295742928139332	0.8058597839777843	0.8315542431030547	0.8081726093182351	0.8235686434852688	0.8037852981777197	0.814729165652355	0.8267655895424686	0.8003152684034031	0.8082655653057594	0.8092271463981582	0.8127816943552384	0.810897341601361	0.8312771395088469	0.829333872600112	0.8226114139231673	0.8251005669948553	0.8070143798957887	0.8241862878575796	0.7763049759565439	0.7934876593109855	0.8175490447026348	0.7912989623565471	0.8046146620826189	0.8087217249292599	0.8192833383942145	0.8196007248404275	0.8135383057584712	0.8132721323728977	0.79976677706114	0.822034486488195	0.8007911680657761	0.8082257769306674	0.81261986160412	0.8204354312313807	0.8129898808135804	0.8076453391099983	0.8163763506626872	0.8460135051054042	0.8093722860491153	0.8298917082881432	0.8174102308194208	0.8123013323890625	0.8151607572471496	0.8161042605705685	0.8014936626077119	0.8122452756567988	0.8223906109631285	0.794296570155984	0.8058541769032063	0.8062384355129503	0.8222813182191293	0.8023322937840422	0.813534664913616	0.8183481274019164	0.7944063093305566	0.8011196465433649	0.8291143251843539	0.808417343025668	0.807970638187786	0.8191564646937346	0.8195265913401489	0.8153324578489463	0.8110714598682804	0.8170561166166879	0.8031861282903467	0.8110467663852432	0.8244981766680995	0.8301342128456054	0.8141401759168685	0.8201105679072018	0.8045825030658903	0.8227785764814448	0.8139320294971426	0.8095106451603777	0.8343565378603023	0.828814844007415	0.8033156752357847	0.811139232233371	0.8130167577358343	0.8109799686268078	0.8037483271866049	0.8116170514137476	0.8112267009285116	0.7951585375062541	0.8232298477235326
5	2000	1000	0.8208554586727808	0.8007374272338186	0.7932430884272597	0.8266147193645327	0.8238285498264034	0.8174250334295754	0.840423699182721	0.7934348744009956	0.8207216616282071	0.828886822095508	0.8191693888254677	0.8186761981529279	0.8128004637913174	0.8095333674088651	0.8280353508685391	0.8031096598714195	0.8294007257453001	0.8058499144588306	0.8199356612131937	0.8037367229945938	0.8140926557512856	0.8273189952912453	0.796391318832521	0.8067261158709019	0.8095215586862551	0.8103704797870117	0.8082110243687833	0.8310630453526484	0.8269894631307336	0.821676683727922	0.8248678872465584	0.8069562131284381	0.8228293891559199	0.7721922022685774	0.7903169578995549	0.8143321861068563	0.7925170685289213	0.8044318761225492	0.8086329706608762	0.818052184637706	0.817658637068947	0.8099201010724156	0.811787722355791	0.7987068647969594	0.8202984968275535	0.7985251385256054	0.8037573068473081	0.810664601127829	0.8174481480565041	0.8112702148968637	0.8068370488635547	0.8166522177309572	0.8469008342499509	0.8059735500362056	0.8299525199397649	0.8143174906000006	0.8129172190661116	0.812806593036185	0.817228851549409	0.7997924898606208	0.8127153126647588	0.8175005392534326	0.7942853036229716	0.8030165237101213	0.8047776953249204	0.8205791518470401	0.8030513629785656	0.8120881340969072	0.8176671396028041	0.7931280544793177	0.7993265885080844	0.8264019014392335	0.8046433280637176	0.8059398735559139	0.8184720429159515	0.8189428530028643	0.8128266900860542	0.8093754757922254	0.8171149403510032	0.8034300218541447	0.8073059180785349	0.8220944730106627	0.8276367574331426	0.8123056178556427	0.8180107520100989	0.8027484584999208	0.8177428362773995	0.8163748331991241	0.808289572793835	0.8334107780271915	0.8295386557760562	0.8006882364569647	0.8085773897208379	0.8121996309667415	0.8094592452528616	0.7992937541733582	0.8083137814759579	0.8104816313237793	0.79666986181499	0.8222371262635387
6	3000	1000	0.8167334817751692	0.7967752077523731	0.7912484693236934	0.8239650041004881	0.8190325515152855	0.813380454180448	0.834024386506965	0.7893831656088999	0.818174415526954	0.8248556517790279	0.815115297068383	0.8135040627317568	0.8116597158961208	0.8048501308542063	0.8243852607629673	0.8007316479931899	0.827226518432498	0.8015889371647832	0.8118749928597803	0.7998828009638737	0.813904644418115	0.8240214905805685	0.7912989603546161	0.8040913870609927	0.8045619549142758	0.8093968944500928	0.804536982829199	0.829025161187462	0.8237420834312945	0.8192025781692593	0.822450694579241	0.805167613726754	0.8224985260450665	0.7705269051227861	0.7851911281392676	0.8081541675315008	0.7888987604097735	0.8035986538296456	0.8075014580062178	0.815739227837131	0.8122495784734461	0.8069446883463497	0.8070588921603109	0.795278681716275	0.8170650091934002	0.7973421038456504	0.7995969048894944	0.80691255068355	0.8121614911816816	0.8095924677432893	0.8049434028131451	0.8143952706172716	0.8439728689526474	0.8000814729123279	0.8258779671150565	0.8110284357056694	0.8113202748453494	0.8090892777599473	0.8148419464271567	0.7954792411518394	0.8100958632581953	0.8148742212222178	0.7909297442530705	0.8040294710108672	0.8036940081302948	0.8175500837047316	0.8003618009497799	0.805267630190633	0.8147081694018914	0.791845512826878	0.7965622473563303	0.8214313831404113	0.7991508213174776	0.8021015001882349	0.8144444980961904	0.8141663965394677	0.8084012955481971	0.8076567344338935	0.8167439218444073	0.8023531692513461	0.8050630198480497	0.8200390022168581	0.8267575838211104	0.8078529370006785	0.8136264057291309	0.8037870722220833	0.813371728097649	0.8170872443053876	0.8064254985982214	0.8310739642170082	0.8292446785742579	0.798318775158932	0.8035861307513871	0.81099118577886	0.8068795031431917	0.7950030909144585	0.8087944547423765	0.806373126753291	0.795612960454766	0.8177870412455406
