names	mean_imp	sd_imp	n
fit_result	28.985863092687907	5.67182251787031	100
Otu00110	2.6188227027020186	0.5273419611450266	100
Otu00367	3.077192757849768	0.6683048793721943	100
Otu00361	2.212768951322781	0.5164880525329921	97
Otu00058	2.196282996557264	0.7547263578885616	94
Otu00008	1.9019059833258585	0.520664501202247	85
Otu00002	1.8516192821617885	0.42339495618072903	83
Otu00005	1.5377387193980538	0.2616508415979312	59
Otu00012	1.5363713189556096	0.2985290446433179	46
Otu00003	1.4909677911250914	0.23823135877803805	37
