"Overall","names","model"
57.2135650844777,"fit_result","Decision_Tree"
17.0527798110774,"Otu00110","Decision_Tree"
15.3454163230495,"Otu00367","Decision_Tree"
14.2282371290005,"Otu00361","Decision_Tree"
12.7385184409214,"Otu00426","Decision_Tree"
0,"Otu00001","Decision_Tree"
0,"Otu00002","Decision_Tree"
0,"Otu00003","Decision_Tree"
0,"Otu00004","Decision_Tree"
0,"Otu00005","Decision_Tree"
51.0749428243754,"fit_result","Decision_Tree"
16.1406472777743,"Otu00367","Decision_Tree"
13.8183481191115,"Otu00361","Decision_Tree"
13.181923554385,"Otu00110","Decision_Tree"
10.6701679389313,"Otu00302","Decision_Tree"
0,"Otu00001","Decision_Tree"
0,"Otu00002","Decision_Tree"
0,"Otu00003","Decision_Tree"
0,"Otu00004","Decision_Tree"
0,"Otu00005","Decision_Tree"
55.2347575639955,"fit_result","Decision_Tree"
18.7887277728927,"Otu00367","Decision_Tree"
15.1015737360327,"Otu00110","Decision_Tree"
14.8592532102491,"Otu00361","Decision_Tree"
12.7385184409214,"Otu00557","Decision_Tree"
0,"Otu00001","Decision_Tree"
0,"Otu00002","Decision_Tree"
0,"Otu00003","Decision_Tree"
0,"Otu00004","Decision_Tree"
0,"Otu00005","Decision_Tree"
52.5874353381987,"fit_result","Decision_Tree"
20.1357403012095,"Otu00367","Decision_Tree"
16.6532206452506,"Otu00110","Decision_Tree"
16.3988236766362,"Otu00361","Decision_Tree"
13.1303991412795,"Otu00058","Decision_Tree"
12.9152693882067,"Otu00327","Decision_Tree"
12.7636704373659,"Otu00246","Decision_Tree"
8.22217962915636,"Otu00014","Decision_Tree"
6.52750027750028,"Otu01356","Decision_Tree"
6.34728332537027,"Otu00391","Decision_Tree"
57.4895785972385,"fit_result","Decision_Tree"
20.675372849224,"Otu00367","Decision_Tree"
16.7969750440225,"Otu00110","Decision_Tree"
15.7484313358432,"Otu00361","Decision_Tree"
12.1119971400333,"Otu00557","Decision_Tree"
0,"Otu00001","Decision_Tree"
0,"Otu00002","Decision_Tree"
0,"Otu00003","Decision_Tree"
0,"Otu00004","Decision_Tree"
0,"Otu00005","Decision_Tree"
55.4706882641346,"fit_result","Decision_Tree"
16.6532206452506,"Otu00367","Decision_Tree"
14.4582221394733,"Otu00110","Decision_Tree"
13.8183481191115,"Otu00361","Decision_Tree"
12.1486718855008,"Otu00557","Decision_Tree"
0,"Otu00001","Decision_Tree"
0,"Otu00002","Decision_Tree"
0,"Otu00003","Decision_Tree"
0,"Otu00004","Decision_Tree"
0,"Otu00005","Decision_Tree"
55.8259454466286,"fit_result","Decision_Tree"
19.3181778227959,"Otu00367","Decision_Tree"
15.7484313358432,"Otu00361","Decision_Tree"
15.1015737360327,"Otu00110","Decision_Tree"
11.5303193701409,"Otu00426","Decision_Tree"
9.49170281235767,"Otu00058","Decision_Tree"
8.70127627662381,"Otu00012","Decision_Tree"
7.29266146458582,"Otu00014","Decision_Tree"
7.27989318015771,"Otu00659","Decision_Tree"
7.18728449385003,"Otu00008","Decision_Tree"
59.4289480387872,"fit_result","Decision_Tree"
20.8150684349329,"Otu00367","Decision_Tree"
16.3988236766362,"Otu00110","Decision_Tree"
13.181923554385,"Otu00361","Decision_Tree"
11.2930698997156,"Otu00302","Decision_Tree"
0,"Otu00001","Decision_Tree"
0,"Otu00002","Decision_Tree"
0,"Otu00003","Decision_Tree"
0,"Otu00004","Decision_Tree"
0,"Otu00005","Decision_Tree"
55.1351032623144,"fit_result","Decision_Tree"
14.0541459003638,"Otu00367","Decision_Tree"
13.181923554385,"Otu00110","Decision_Tree"
11.9193118173942,"Otu00361","Decision_Tree"
9.43427757642027,"Otu00327","Decision_Tree"
0,"Otu00001","Decision_Tree"
0,"Otu00002","Decision_Tree"
0,"Otu00003","Decision_Tree"
0,"Otu00004","Decision_Tree"
0,"Otu00005","Decision_Tree"
56.1136093514514,"fit_result","Decision_Tree"
17.4570852981187,"Otu00367","Decision_Tree"
15.3075032490376,"Otu00361","Decision_Tree"
13.8183481191115,"Otu00110","Decision_Tree"
10.050579286449,"Otu00327","Decision_Tree"
0,"Otu00001","Decision_Tree"
0,"Otu00002","Decision_Tree"
0,"Otu00003","Decision_Tree"
0,"Otu00004","Decision_Tree"
0,"Otu00005","Decision_Tree"
56.8019249207634,"fit_result","Decision_Tree"
17.3132943023258,"Otu00367","Decision_Tree"
14.8392768756567,"Otu00110","Decision_Tree"
13.5528748487336,"Otu00361","Decision_Tree"
10.6664130064287,"Otu00822","Decision_Tree"
9.22512900427809,"Otu00008","Decision_Tree"
6.72643337120394,"Otu00309","Decision_Tree"
5.70138979027979,"Otu00058","Decision_Tree"
5.68423175676624,"Otu00677","Decision_Tree"
5.36410976078871,"Otu00565","Decision_Tree"
51.0749428243754,"fit_result","Decision_Tree"
18.1209962217596,"Otu00367","Decision_Tree"
15.7484313358432,"Otu00361","Decision_Tree"
13.8183481191115,"Otu00110","Decision_Tree"
10.050579286449,"Otu00302","Decision_Tree"
0,"Otu00001","Decision_Tree"
0,"Otu00002","Decision_Tree"
0,"Otu00003","Decision_Tree"
0,"Otu00004","Decision_Tree"
0,"Otu00005","Decision_Tree"
64.2255853012347,"fit_result","Decision_Tree"
21.7327675664918,"Otu00367","Decision_Tree"
15.7484313358432,"Otu00361","Decision_Tree"
15.1015737360327,"Otu00110","Decision_Tree"
11.9193118173942,"Otu00302","Decision_Tree"
0,"Otu00001","Decision_Tree"
0,"Otu00002","Decision_Tree"
0,"Otu00003","Decision_Tree"
0,"Otu00004","Decision_Tree"
0,"Otu00005","Decision_Tree"
63.3373567712271,"fit_result","Decision_Tree"
16.7969750440225,"Otu00367","Decision_Tree"
15.1015737360327,"Otu00110","Decision_Tree"
13.8183481191115,"Otu00361","Decision_Tree"
11.9193118173942,"Otu00327","Decision_Tree"
7.7591689567264,"Otu00058","Decision_Tree"
7.18628644083189,"Otu00012","Decision_Tree"
6.7546672522782,"Otu00128","Decision_Tree"
6.4685395116305,"Otu00309","Decision_Tree"
5.99099608946807,"Otu00231","Decision_Tree"
53.8469783544833,"fit_result","Decision_Tree"
18.8165160626251,"Otu00058","Decision_Tree"
17.4570852981187,"Otu00367","Decision_Tree"
