cv_aucs,test_aucs,model
0.6711184320208711,0.6957264957264957,L2_Logistic_Regression
0.6662926811829251,0.6867521367521368,L2_Logistic_Regression
0.674423486203974,0.7008547008547008,L2_Logistic_Regression
0.6964215618057081,0.6354700854700854,L2_Logistic_Regression
0.6807896267347486,0.6145299145299146,L2_Logistic_Regression
0.6757754191473704,0.6799145299145299,L2_Logistic_Regression
0.6925826226923788,0.65,L2_Logistic_Regression
0.6857689492628517,0.6427350427350428,L2_Logistic_Regression
0.7049813445850032,0.6264957264957265,L2_Logistic_Regression
0.6949524515805003,0.6521367521367522,L2_Logistic_Regression
0.6704936896827141,0.6405982905982905,L2_Logistic_Regression
0.6648123062086476,0.6974358974358974,L2_Logistic_Regression
0.6817667719984793,0.6106837606837606,L2_Logistic_Regression
0.6888759935894082,0.6192307692307693,L2_Logistic_Regression
0.6727880258307087,0.7256410256410256,L2_Logistic_Regression
0.6719115282529917,0.6512820512820513,L2_Logistic_Regression
0.6898917820259284,0.5735042735042735,L2_Logistic_Regression
0.6896760950846317,0.6551282051282051,L2_Logistic_Regression
0.6927371404505551,0.6346153846153846,L2_Logistic_Regression
0.6947999558792242,0.6739316239316239,L2_Logistic_Regression
0.6524601718443181,0.7183760683760684,L2_Logistic_Regression
0.699484822801896,0.576068376068376,L2_Logistic_Regression
0.6797933900799754,0.6777777777777778,L2_Logistic_Regression
0.6802187989383112,0.6504273504273504,L2_Logistic_Regression
0.673825789203838,0.6837606837606838,L2_Logistic_Regression
0.7000080507336605,0.6427350427350428,L2_Logistic_Regression
0.7014614649492699,0.5705128205128205,L2_Logistic_Regression
0.6588486910255202,0.7431623931623932,L2_Logistic_Regression
0.6782968604492995,0.6743589743589744,L2_Logistic_Regression
0.6786559852535462,0.6884615384615385,L2_Logistic_Regression
0.6537828141730581,0.7405982905982906,L2_Logistic_Regression
0.6923141189970459,0.6581196581196581,L2_Logistic_Regression
0.6789688704383826,0.6858974358974359,L2_Logistic_Regression
0.6669145312559946,0.7051282051282051,L2_Logistic_Regression
0.6991683068085507,0.6679487179487179,L2_Logistic_Regression
0.6731439566744445,0.7064102564102563,L2_Logistic_Regression
0.6697972048703756,0.6867521367521368,L2_Logistic_Regression
0.6764862135654819,0.7012820512820512,L2_Logistic_Regression
0.6888092604799921,0.688034188034188,L2_Logistic_Regression
0.6773255154108813,0.6961538461538461,L2_Logistic_Regression
0.6801398236215309,0.65,L2_Logistic_Regression
0.6841718425742817,0.6905982905982906,L2_Logistic_Regression
0.6673110192073607,0.6935897435897436,L2_Logistic_Regression
0.6668040270235392,0.6944444444444444,L2_Logistic_Regression
0.6772698491174101,0.6504273504273504,L2_Logistic_Regression
0.6901225999518682,0.647008547008547,L2_Logistic_Regression
0.672234146167073,0.6884615384615385,L2_Logistic_Regression
0.7103268259548747,0.5863247863247864,L2_Logistic_Regression
0.6619781724232944,0.7568376068376068,L2_Logistic_Regression
0.6722764018373775,0.6692307692307692,L2_Logistic_Regression
0.6583281705049998,0.711111111111111,L2_Logistic_Regression
0.6733695542232128,0.6829059829059829,L2_Logistic_Regression
0.671904390453171,0.7051282051282051,L2_Logistic_Regression
0.6753916154830789,0.6636752136752136,L2_Logistic_Regression
0.6618349194141877,0.7474358974358974,L2_Logistic_Regression
0.677280353524256,0.697008547008547,L2_Logistic_Regression
0.6870870068674947,0.6982905982905983,L2_Logistic_Regression
0.6606519202128959,0.7299145299145299,L2_Logistic_Regression
0.6717819003672663,0.6713675213675213,L2_Logistic_Regression
0.6701215379142208,0.673076923076923,L2_Logistic_Regression
0.675292051633515,0.7123931623931624,L2_Logistic_Regression
0.6612435231398646,0.7141025641025641,L2_Logistic_Regression
0.6595868202697471,0.7162393162393162,L2_Logistic_Regression
0.6819028880797173,0.6901709401709402,L2_Logistic_Regression
0.690542232127598,0.6662393162393162,L2_Logistic_Regression
0.673108869322284,0.6790598290598291,L2_Logistic_Regression
0.6612139273419761,0.7170940170940171,L2_Logistic_Regression
0.6562145089340211,0.7256410256410256,L2_Logistic_Regression
0.6613442728442729,0.7072649572649573,L2_Logistic_Regression
0.6847162205759767,0.6555555555555556,L2_Logistic_Regression
0.6903498149717662,0.6641025641025641,L2_Logistic_Regression
0.668782450569036,0.7021367521367521,L2_Logistic_Regression
0.6515610113597918,0.7008547008547008,L2_Logistic_Regression
0.6445833699553212,0.7521367521367521,L2_Logistic_Regression
0.6568261850700875,0.7435897435897435,L2_Logistic_Regression
0.6803838097679561,0.67008547008547,L2_Logistic_Regression
0.6800411465472441,0.7209401709401709,L2_Logistic_Regression
0.6908305239036946,0.7166666666666667,L2_Logistic_Regression
0.7023703738581787,0.6457264957264958,L2_Logistic_Regression
0.6650041321809614,0.7200854700854701,L2_Logistic_Regression
0.6839245543452861,0.6658119658119658,L2_Logistic_Regression
0.697611863605766,0.6188034188034188,L2_Logistic_Regression
0.6812268278731693,0.6491452991452992,L2_Logistic_Regression
0.6699848454726504,0.7256410256410256,L2_Logistic_Regression
0.6802959867533038,0.6393162393162393,L2_Logistic_Regression
0.7005258507636556,0.635042735042735,L2_Logistic_Regression
0.6787204294887221,0.6803418803418804,L2_Logistic_Regression
0.6701927886074227,0.6811965811965812,L2_Logistic_Regression
0.6718506206554987,0.6764957264957264,L2_Logistic_Regression
0.6850193503608137,0.6717948717948717,L2_Logistic_Regression
0.6804787269848246,0.6816239316239316,L2_Logistic_Regression
0.6893937552535113,0.6247863247863248,L2_Logistic_Regression
0.6970269904050392,0.6055555555555555,L2_Logistic_Regression
