key	mean_weights	sd_weights
fit_result	-2.584247890709427	0.27748002563325475
Otu00008	-0.3903644657093377	0.22797038568822314
Otu00002	0.2926419196954004	0.18368063509038518
Otu00742	-0.25842167425111945	0.21012605987814684
Otu00629	0.24029104457796985	0.18061089936333
Otu00768	0.22607346481371984	0.16338173518350732
Otu00017	0.22079541111795323	0.13274828773726605
Otu00609	0.20230279888999791	0.1785098055709386
Otu00050	0.19763478403570214	0.2037631305446492
Otu00659	-0.17925564670418626	0.1922183342960265
