"Overall","names","model"
27.9481262937145,"fit_result","Random_Forest"
3.3021186744607,"Otu00110","Random_Forest"
3.28275401019557,"Otu00361","Random_Forest"
2.48075990052995,"Otu00058","Random_Forest"
2.39039459749991,"Otu00367","Random_Forest"
1.8399686158632,"Otu00050","Random_Forest"
1.7997076559994,"Otu00002","Random_Forest"
1.46861054965492,"Otu00557","Random_Forest"
1.32312070823633,"Otu00003","Random_Forest"
1.26604360981437,"Otu00426","Random_Forest"
27.5322106888057,"fit_result","Random_Forest"
3.04940012162649,"Otu00367","Random_Forest"
2.32817854478501,"Otu00361","Random_Forest"
2.2417622908007,"Otu00008","Random_Forest"
2.19963929885766,"Otu00110","Random_Forest"
1.98801765878521,"Otu00058","Random_Forest"
1.60684056800807,"Otu00002","Random_Forest"
1.44810780455285,"Otu00128","Random_Forest"
1.28701503266083,"Otu00050","Random_Forest"
1.2730927367871,"Otu00018","Random_Forest"
29.7133345913687,"fit_result","Random_Forest"
3.85605676217411,"Otu00367","Random_Forest"
2.61561693770649,"Otu00361","Random_Forest"
2.58231000081027,"Otu00110","Random_Forest"
2.17064335266367,"Otu00008","Random_Forest"
1.8996087977338,"Otu00058","Random_Forest"
1.61441259167107,"Otu00822","Random_Forest"
1.38235666774008,"Otu00010","Random_Forest"
1.2364938800661,"Otu00012","Random_Forest"
1.236181149195,"Otu00002","Random_Forest"
100,"fit_result","Random_Forest"
1.16632555063749,"Otu00001","Random_Forest"
4.96743751611075,"Otu00002","Random_Forest"
3.63650149444511,"Otu00003","Random_Forest"
1.82918006313262,"Otu00004","Random_Forest"
5.66094337613282,"Otu00005","Random_Forest"
1.57430606548839,"Otu00006","Random_Forest"
1.34701167474309,"Otu00007","Random_Forest"
6.70304874899799,"Otu00008","Random_Forest"
2.07469014410922,"Otu00009","Random_Forest"
3.41768119123097,"Otu00010","Random_Forest"
1.14612963217213,"Otu00011","Random_Forest"
6.51242100474271,"Otu00012","Random_Forest"
1.54949039565625,"Otu00013","Random_Forest"
1.32604280081928,"Otu00014","Random_Forest"
2.03776865031067,"Otu00015","Random_Forest"
1.39142606803028,"Otu00016","Random_Forest"
1.53106778441958,"Otu00017","Random_Forest"
1.77206757873538,"Otu00018","Random_Forest"
2.04831861363387,"Otu00019","Random_Forest"
1.33473180237467,"Otu00020","Random_Forest"
2.20440669791577,"Otu00021","Random_Forest"
2.22203474562475,"Otu00022","Random_Forest"
1.45016852435062,"Otu00023","Random_Forest"
2.72842695730383,"Otu00024","Random_Forest"
1.57127880053384,"Otu00025","Random_Forest"
0.879852292712668,"Otu00026","Random_Forest"
1.37150656685709,"Otu00027","Random_Forest"
1.33155606597269,"Otu00028","Random_Forest"
0.960083023470219,"Otu00029","Random_Forest"
1.28913980870016,"Otu00030","Random_Forest"
0.952026941571097,"Otu00031","Random_Forest"
0.913381176238396,"Otu00032","Random_Forest"
2.11078628312129,"Otu00033","Random_Forest"
1.01689410468304,"Otu00034","Random_Forest"
2.04224061148253,"Otu00035","Random_Forest"
0.771025056166508,"Otu00036","Random_Forest"
1.19097620656204,"Otu00037","Random_Forest"
2.06297581816942,"Otu00038","Random_Forest"
0.920109408924909,"Otu00039","Random_Forest"
1.96547544745987,"Otu00040","Random_Forest"
0.688496699364582,"Otu00041","Random_Forest"
1.00240412132105,"Otu00042","Random_Forest"
0.653668868716517,"Otu00043","Random_Forest"
2.08685786625174,"Otu00044","Random_Forest"
0.375372954278124,"Otu00045","Random_Forest"
0.989441039716895,"Otu00046","Random_Forest"
0.383944289533922,"Otu00047","Random_Forest"
0.806832595241995,"Otu00048","Random_Forest"
0.678435182116277,"Otu00049","Random_Forest"
3.24258066630851,"Otu00050","Random_Forest"
0.363290092147458,"Otu00051","Random_Forest"
0.319694539764076,"Otu00052","Random_Forest"
