"mtry","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","model"
80,0.725298101237126,0.486926426426426,0.839677119628339,0.0587865275346626,0.0825718266971843,0.0623809197083438,"Random_Forest"
500,0.785278910443545,0.597174174174174,0.84445412311266,0.0487253478232195,0.0795341541852985,0.0594189269336487,"Random_Forest"
1000,0.792150590485956,0.598563063063063,0.8594262485482,0.047985326508434,0.079548007706658,0.055008659822416,"Random_Forest"
1500,0.792583296711346,0.595941441441441,0.866415795586527,0.0487396151900794,0.0796249275234666,0.0534656597299602,"Random_Forest"
80,0.746608873246068,0.507630630630631,0.841817653890825,0.0552970014842334,0.0826558918681771,0.0611121162609816,"Random_Forest"
500,0.808554939957379,0.618746246246246,0.856662020905923,0.0452425517682351,0.0791148086472611,0.0543843514568555,"Random_Forest"
1000,0.814667345045394,0.635758258258258,0.871353077816492,0.0446218980265678,0.0801789319761307,0.0484204872280027,"Random_Forest"
1500,0.813816269230903,0.63601951951952,0.880688734030197,0.0445440299667317,0.0766565037139787,0.0456108131195012,"Random_Forest"
80,0.766851041372383,0.511674174174174,0.860367015098722,0.0539244675770173,0.0805099589267802,0.0602569243463201,"Random_Forest"
500,0.818979116747409,0.619993993993994,0.862238095238095,0.0436219714103329,0.0772423333820752,0.0539027450385133,"Random_Forest"
1000,0.822167081279886,0.621503003003003,0.872038327526132,0.042370098292278,0.0762262013831939,0.0505067457716649,"Random_Forest"
1500,0.819930605692801,0.611118618618619,0.881416957026713,0.0424490199542781,0.0795214569253664,0.047846658889226,"Random_Forest"
80,0.743492873971533,0.48572972972973,0.859723577235772,0.0563327162999976,0.0777535720715191,0.0599568289520673,"Random_Forest"
500,0.808295875579412,0.611438438438438,0.860005807200929,0.0469849729165602,0.0744765036553976,0.0583928844981267,"Random_Forest"
1000,0.813038433904288,0.608957957957958,0.877955865272938,0.0457011252546678,0.076550031288986,0.0525905996222329,"Random_Forest"
1500,0.812747646601305,0.60172972972973,0.884882694541231,0.045595443918913,0.0750497122058247,0.0489281396531991,"Random_Forest"
80,0.749378375326546,0.499279279279279,0.862386759581881,0.0510273625507837,0.0804888519724803,0.057917666351993,"Random_Forest"
500,0.802855151754542,0.608258258258258,0.8615737514518,0.0448375272877549,0.0794865720269212,0.0501114997903254,"Random_Forest"
1000,0.807209666984057,0.609578078078078,0.876592334494773,0.044642461153597,0.0770055332684918,0.0499192765294154,"Random_Forest"
1500,0.807525920955799,0.604097597597598,0.884728222996516,0.0453169226669559,0.075515915174662,0.047125199419397,"Random_Forest"
80,0.760556598410257,0.523058558558559,0.85193031358885,0.0500149133779866,0.0789584047063107,0.0590632933487851,"Random_Forest"
500,0.820694650661114,0.618537537537538,0.869124274099884,0.0423188908242375,0.0747099162000583,0.0538536799060551,"Random_Forest"
1000,0.825585244652318,0.620433933933934,0.884188153310104,0.041933381366481,0.0776568771205411,0.0474387509638752,"Random_Forest"
1500,0.826100435365679,0.6178003003003,0.890363530778165,0.0424013147686171,0.0771925338771597,0.0458833596566915,"Random_Forest"
80,0.759277936909034,0.518894894894895,0.852815331010453,0.0486451117724329,0.0756286789204667,0.0600397796854802,"Random_Forest"
500,0.804650806294099,0.605615615615616,0.852729384436702,0.0420486381417319,0.0750986079494073,0.0541545592166853,"Random_Forest"
1000,0.806716366627952,0.614857357357357,0.859380952380952,0.042493132626901,0.0763392702263997,0.0535596013326492,"Random_Forest"
1500,0.803965819913991,0.610935435435435,0.864492450638792,0.0425851290740274,0.0771993571927228,0.0496033201594584,"Random_Forest"
80,0.758990290813462,0.518327327327327,0.852046457607433,0.0547333753905452,0.0831792437164803,0.0590484576136786,"Random_Forest"
500,0.819611775102629,0.632213213213213,0.878301974448316,0.0447684446321662,0.0786496110469485,0.0496328774610055,"Random_Forest"
1000,0.822455821239358,0.636803303303303,0.897549361207898,0.0439528358356021,0.0763631871594126,0.0456854887562537,"Random_Forest"
1500,0.821437579565628,0.632454954954955,0.906737514518002,0.0437071018202588,0.076892407542709,0.0424760940157366,"Random_Forest"
80,0.767454314506144,0.548435435435435,0.852134727061556,0.0533654275454276,0.0799856193481611,0.0599784888243351,"Random_Forest"
500,0.824745927983733,0.626681681681682,0.889566782810685,0.0449537428784999,0.0797555985806905,0.0506905283934157,"Random_Forest"
1000,0.829351051399832,0.6193003003003,0.906678281068525,0.0439188708299912,0.0815361843538527,0.0429114604883286,"Random_Forest"
1500,0.827818662303418,0.608426426426426,0.916973286875726,0.0437603263355761,0.0804079165501844,0.0382473327698886,"Random_Forest"
80,0.76146695345171,0.521968468468468,0.842116144018583,0.0548277157988645,0.0826434154255018,0.0667358959460215,"Random_Forest"
500,0.820922408471189,0.638136636636637,0.874800232288037,0.0462566195063165,0.0812325955549677,0.0545243168747194,"Random_Forest"
1000,0.827076744427354,0.635277777777778,0.882829268292683,0.0438968891632118,0.0811129547672613,0.0491312738064508,"Random_Forest"
1500,0.828480552416528,0.630171171171171,0.886465737514518,0.0431918972676379,0.0806842756776356,0.0468347447205093,"Random_Forest"
80,0.755923913896475,0.508013513513514,0.854550522648084,0.0540965158995911,0.0772440001926914,0.0608975172194619,"Random_Forest"
500,0.815711739178203,0.62590990990991,0.871282229965157,0.0460360468775438,0.0784011724910164,0.0534308619796461,"Random_Forest"
1000,0.821860065204577,0.620261261261261,0.883003484320558,0.0449856996437245,0.0793665789343083,0.0478477640553704,"Random_Forest"
1500,0.822799474997646,0.614385885885886,0.889177700348432,0.0447060501788756,0.0790388972507992,0.0470514112831705,"Random_Forest"
80,0.748527820067454,0.52293993993994,0.832184668989547,0.0525253981964327,0.0730541533687503,0.0635522367899068,"Random_Forest"
500,0.803694919658334,0.611962462462462,0.850736353077816,0.0433856957303433,0.07040066061806,0.0582837170776705,"Random_Forest"
1000,0.810189992257065,0.610894894894895,0.862965156794425,0.0421843220077333,0.0708306639169993,0.0518239412519536,"Random_Forest"
1500,0.809544805694196,0.607905405405405,0.873206736353078,0.0426826308731222,0.0722086380454211,0.0484655718118556,"Random_Forest"
80,0.761901120196852,0.554337837837838,0.839147502903601,0.0554368282715126,0.0822071165792905,0.0655973128026757,"Random_Forest"
500,0.814655960402912,0.634445945945946,0.860346109175377,0.0465587102589524,0.0787030849878634,0.0525599526394881,"Random_Forest"
1000,0.819993724996774,0.639615615615616,0.868974448315912,0.0442984484086728,0.0797491070005744,0.0480146540356205,"Random_Forest"
1500,0.820417987238109,0.628537537537537,0.876390243902439,0.0432982914014737,0.0797665545898391,0.0474024036283776,"Random_Forest"
80,0.747259508637557,0.514783783783784,0.831530778164924,0.0525387560589535,0.0765974935551417,0.0637497346440881,"Random_Forest"
500,0.810892173532417,0.616954954954955,0.848341463414634,0.0438466568607989,0.0748971565249374,0.055451987421904,"Random_Forest"
1000,0.817361513952977,0.621111111111111,0.866752613240418,0.0427706589786723,0.0744420828413323,0.051014420227227,"Random_Forest"
1500,0.818064405869284,0.618214714714715,0.877283391405343,0.0427698023968596,0.0742747750512115,0.0485567560335129,"Random_Forest"
80,0.761472847411872,0.553642642642643,0.842586527293844,0.0559181057580658,0.0761007337064296,0.0637554708510633,"Random_Forest"
500,0.823261441755344,0.642004504504505,0.860128919860627,0.0430062286250869,0.0721818627725632,0.0555843511831176,"Random_Forest"
1000,0.829545248645858,0.642624624624625,0.871472706155633,0.041324700765227,0.0754042902379023,0.0508181335169393,"Random_Forest"
1500,0.828816707822805,0.632845345345345,0.878459930313589,0.0411596876991665,0.076305237862478,0.0484326482902586,"Random_Forest"
80,0.756005522944547,0.528070570570571,0.843305458768873,0.0512605264144328,0.0765523158200644,0.0618668610822814,"Random_Forest"
500,0.820982145472999,0.644364864864865,0.862988385598142,0.0421957183940447,0.0812035628672429,0.055051564223102,"Random_Forest"
1000,0.8266831901588,0.651366366366366,0.876472706155633,0.0420211199137444,0.080428631426416,0.0485726456952563,"Random_Forest"
1500,0.826176473511839,0.643486486486487,0.884466898954704,0.0429460439957164,0.0803415030889908,0.0477049516211062,"Random_Forest"
80,0.772716773393603,0.513027027027027,0.858312427409988,0.053333157463977,0.076430455748176,0.0611872471601112,"Random_Forest"
500,0.821106062944478,0.624840840840841,0.867626016260163,0.0437045857312396,0.0812208141778523,0.0532730354518978,"Random_Forest"
1000,0.823799149759516,0.626211711711712,0.876094076655052,0.043167367709932,0.0795634293054645,0.0485070814617711,"Random_Forest"
1500,0.823363105265544,0.621701201201201,0.881394889663182,0.0431202108144614,0.0799332293576648,0.0459221170327558,"Random_Forest"
80,0.762424415704903,0.553558558558559,0.837357723577236,0.0514966858190748,0.075757803356037,0.062763961876705,"Random_Forest"
500,0.819215565739956,0.629764264264264,0.860675958188153,0.0426385643703731,0.0760715873866309,0.0571973474828241,"Random_Forest"
1000,0.825929252859131,0.626027027027027,0.880038327526132,0.0409978020445286,0.0780511751675424,0.0495066375639265,"Random_Forest"
1500,0.826406802708632,0.618430930930931,0.891620209059233,0.0402259828548423,0.0762217057361529,0.0469736260325106,"Random_Forest"
80,0.752068884215226,0.530178678678679,0.854059233449477,0.0545496196447545,0.0820649363495925,0.0589177230088475,"Random_Forest"
500,0.802844510015242,0.621929429429429,0.860306620209059,0.0454363731516342,0.0774342048113157,0.0534165178555286,"Random_Forest"
1000,0.806082981064688,0.627043543543544,0.86887456445993,0.0434051006463696,0.0762419351861953,0.0499837560298731,"Random_Forest"
1500,0.804065102559005,0.62133033033033,0.879118466898955,0.0435748156008379,0.0742191752952909,0.0480413437375531,"Random_Forest"
80,0.765455871812579,0.505153153153153,0.86323112659698,0.0537600902565518,0.0760473932202724,0.0617239415085347,"Random_Forest"
500,0.815592971455776,0.631780780780781,0.870560975609756,0.0439611482210384,0.0748035954608948,0.055318125797368,"Random_Forest"
1000,0.817841428536551,0.630301801801802,0.884681765389082,0.0431029674592206,0.0746638121169453,0.0497304183679202,"Random_Forest"
1500,0.816859331892869,0.617028528528529,0.890842044134727,0.041973827690353,0.0768890398088214,0.0457109015293005,"Random_Forest"
