key	mean_rank
Otu01239	6
Otu00012	8.5
Otu00659	9
Otu00768	9
Otu00742	10
Otu00015	10.5
Otu00008	11
Otu00822	13
Otu00050	14
Otu00629	15
Otu00426	15.5
Otu00609	18
Otu01123	19
Otu00013	20
Otu00004	21
Otu00092	21
Otu01212	21
Otu02095	24.5
Otu00958	26
Otu00961	26.5
