"C","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","model"
0.1,0.752277408070091,0.604309309309309,0.754483159117305,0.0461888937047478,0.0858352579667988,0.0624401051625683,"L2_Linear_SVM"
0.15,0.754093797630383,0.613558558558559,0.750232288037166,0.0446701536357546,0.0926018580137617,0.0682202994448049,"L2_Linear_SVM"
0.3,0.753995214726922,0.608108108108108,0.747793263646922,0.0468452362778415,0.0992437347670014,0.0662231131475538,"L2_Linear_SVM"
1,0.754346951481098,0.610255255255255,0.744912891986063,0.0470331003715072,0.100304714292812,0.0713527311514225,"L2_Linear_SVM"
0.1,0.706787615141274,0.576651651651652,0.727862950058072,0.0437914431869995,0.0540819765575714,0.0619147303120152,"L2_Linear_SVM"
0.15,0.708281216756827,0.579894894894895,0.729732868757259,0.0453452175885524,0.0619913209010353,0.0633716766110516,"L2_Linear_SVM"
0.3,0.709764014885966,0.579369369369369,0.726411149825784,0.0462120273651925,0.0669037894568358,0.0699340256197487,"L2_Linear_SVM"
1,0.709764014885966,0.582102102102102,0.728304297328688,0.0462120273651925,0.0613637016068863,0.0693834433088458,"L2_Linear_SVM"
0.1,0.722457431298895,0.576006006006006,0.732009291521487,0.0511724144856008,0.0699113688541721,0.0720742768519551,"L2_Linear_SVM"
0.15,0.722609595658376,0.571081081081081,0.737340301974448,0.051784781435072,0.0759796336555638,0.0688485395069055,"L2_Linear_SVM"
0.3,0.722725600164625,0.565075075075075,0.73581881533101,0.0526896062039089,0.0825390359148814,0.0630239352857106,"L2_Linear_SVM"
1,0.722634080073104,0.57,0.73917537746806,0.0526545630822325,0.0796087081187195,0.0589011432105069,"L2_Linear_SVM"
0.1,0.730479878833537,0.596111111111111,0.744982578397212,0.0506481009523343,0.0741573016085841,0.0628467970558683,"L2_Linear_SVM"
0.15,0.732012308475723,0.592282282282282,0.754065040650406,0.0499832042975345,0.0751649336598114,0.0580432328142438,"L2_Linear_SVM"
0.3,0.730278484058972,0.584174174174174,0.752160278745645,0.0506300397195591,0.0770836059907597,0.0532440816460118,"L2_Linear_SVM"
1,0.730228059069522,0.581486486486486,0.753089430894309,0.0506643776805724,0.0733699245739528,0.0560615375004864,"L2_Linear_SVM"
0.1,0.726184843379965,0.580990990990991,0.728745644599303,0.0505270023384833,0.0768832386038325,0.0637386970335131,"L2_Linear_SVM"
0.15,0.726554254603035,0.57509009009009,0.73260162601626,0.0494300223066969,0.0766248524475996,0.0624424109945642,"L2_Linear_SVM"
0.3,0.726458566580518,0.569024024024024,0.7368524970964,0.0483137266200376,0.073618337657238,0.0592006758529727,"L2_Linear_SVM"
1,0.726471436593388,0.570165165165165,0.733983739837398,0.0483038556530483,0.0778733582818286,0.0582800842196958,"L2_Linear_SVM"
0.1,0.710344569307984,0.558708708708709,0.728850174216028,0.0478434758800632,0.0687249783165885,0.0737967290300706,"L2_Linear_SVM"
0.15,0.707780053572737,0.553858858858859,0.725923344947735,0.0490097078740051,0.0632493465725689,0.0693910758036003,"L2_Linear_SVM"
0.3,0.708339681144559,0.544129129129129,0.721196283391405,0.0511818769524388,0.0642399117995554,0.0659362772313568,"L2_Linear_SVM"
1,0.708116435250582,0.540840840840841,0.725005807200929,0.0509194507651766,0.0632466531547265,0.0656433611818289,"L2_Linear_SVM"
0.1,0.706119717278254,0.569864864864865,0.697653890824623,0.0517130790364978,0.0731238766070875,0.0604274449731932,"L2_Linear_SVM"
0.15,0.706192603753579,0.576291291291291,0.701927990708479,0.0506817123445757,0.075125448872015,0.0647593154191339,"L2_Linear_SVM"
0.3,0.703049852988877,0.563843843843844,0.70581881533101,0.0495449043822547,0.0762962156754136,0.0665828497596285,"L2_Linear_SVM"
1,0.702855913404694,0.561741741741742,0.714425087108014,0.0493818565726742,0.0769851938000367,0.0623744071838493,"L2_Linear_SVM"
0.1,0.750263887580961,0.603498498498498,0.759279907084785,0.0494253737776692,0.084948586053969,0.0713789072680503,"L2_Linear_SVM"
0.15,0.75137459759411,0.601891891891892,0.754494773519164,0.0501882535405244,0.0753149382651223,0.0706911381025083,"L2_Linear_SVM"
0.3,0.751849872520604,0.590510510510511,0.7631475029036,0.0505179615574488,0.0799746668355566,0.0720895316551695,"L2_Linear_SVM"
1,0.751849872520604,0.59481981981982,0.755993031358885,0.0505179615574488,0.0797085870848782,0.0683246793325067,"L2_Linear_SVM"
0.1,0.707385477812307,0.555945945945946,0.741718931475029,0.0407125489081887,0.0677425570022897,0.0696765895723201,"L2_Linear_SVM"
0.15,0.704435097118024,0.55478978978979,0.738385598141696,0.042723515594681,0.071677982038401,0.0768027162315224,"L2_Linear_SVM"
0.3,0.699416332709016,0.545570570570571,0.735540069686411,0.0430760369426861,0.06950770975345,0.0692423453518022,"L2_Linear_SVM"
1,0.699297816980744,0.549894894894895,0.736434378629501,0.0429585953614052,0.0665315924230918,0.0681503264597768,"L2_Linear_SVM"
0.1,0.731434570458961,0.584144144144144,0.750789779326365,0.055176692030599,0.0768552861699774,0.0669442597682368,"L2_Linear_SVM"
0.15,0.734855081562399,0.58527027027027,0.748350754936121,0.0570166400869327,0.083092893919621,0.0658162741152556,"L2_Linear_SVM"
0.3,0.735204246057905,0.590705705705706,0.746922183507549,0.0580555300484739,0.0810817464262388,0.0609719413458416,"L2_Linear_SVM"
1,0.735269537830513,0.598798798798799,0.745063879210221,0.0580133620646874,0.0880049706663889,0.0618552440336395,"L2_Linear_SVM"
0.1,0.759205320302881,0.600495495495496,0.765110336817654,0.0384435951951089,0.0770493324767943,0.0667239129902499,"L2_Linear_SVM"
0.15,0.758728632813999,0.599339339339339,0.77321718931475,0.0367877699027059,0.0782067958562727,0.0613923425361354,"L2_Linear_SVM"
0.3,0.753317681793292,0.593948948948949,0.768908246225319,0.0366915519545031,0.0774223972019753,0.0643788315283469,"L2_Linear_SVM"
1,0.753290825668874,0.59503003003003,0.769372822299652,0.0366535739800675,0.07794553674261,0.0596353841619993,"L2_Linear_SVM"
0.1,0.743351522253961,0.594924924924925,0.754959349593496,0.0546587406988908,0.0802208090121881,0.0706093488210378,"L2_Linear_SVM"
0.15,0.739783258868625,0.596531531531531,0.755493612078978,0.0546574424982532,0.0762407346116869,0.0632011530988352,"L2_Linear_SVM"
0.3,0.732388904584027,0.584114114114114,0.74924506387921,0.0548076678265428,0.0745540170129507,0.0657161659132707,"L2_Linear_SVM"
1,0.732530710152661,0.581936936936937,0.752102206736353,0.0548276561173589,0.0785795721890773,0.065475019381463,"L2_Linear_SVM"
