names	mean_imp	sd_imp	n
fit_result	0.7709189723320158	0.009595752354668094	100
Otu00058	0.6006909641453015	0.011504525935591413	99
Otu00002	0.6035812728461469	0.010958818132845605	98
Otu00822	0.5893803444538119	0.006634769771597247	76
Otu00367	0.5859762188108029	0.00486449163329033	68
Otu00128	0.5895565021969225	0.00782481412910619	66
Otu00361	0.5867895611888747	0.00558215414049093	63
Otu00110	0.5869953031857277	0.005851707977189824	58
Otu00109	0.5898319054913604	0.007192669731603398	33
Otu00264	0.5882361576196005	0.006595563107542868	31
