"sigma","C","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","model"
1e-08,1e-06,0.577193160059014,0,1,0.0742910775974088,0,0,"RBF_SVM"
1e-08,1e-05,0.721600703490947,0,1,0.0624435445928123,0,0,"RBF_SVM"
1e-08,1e-04,0.730571211455358,0,1,0.062127986131843,0,0,"RBF_SVM"
1e-08,0.001,0.728789499429743,0,1,0.0633300265082803,0,0,"RBF_SVM"
1e-07,1e-06,0.729852347992592,0,1,0.057541856188386,0,0,"RBF_SVM"
1e-07,1e-05,0.738027980070663,0,1,0.0608845489094724,0,0,"RBF_SVM"
1e-07,1e-04,0.737756510866267,0,1,0.0604290639661254,0,0,"RBF_SVM"
1e-07,0.001,0.738301153941398,0,1,0.060045314827533,0,0,"RBF_SVM"
1e-06,1e-06,0.735654404404404,0,1,0.0614116757422375,0,0,"RBF_SVM"
1e-06,1e-05,0.735445087945088,0,1,0.0617370409074086,0,0,"RBF_SVM"
1e-06,1e-04,0.734993652188774,0,1,0.0603935824034483,0,0,"RBF_SVM"
1e-06,0.001,0.735565103430957,0,1,0.0618280971393295,0,0,"RBF_SVM"
1e-05,1e-06,0.736009886192813,0,1,0.0609839962956829,0,0,"RBF_SVM"
1e-05,1e-05,0.735339067290287,0,1,0.0608016354035625,0,0,"RBF_SVM"
1e-05,1e-04,0.735270793441525,0,1,0.060564223295861,0,0,"RBF_SVM"
1e-05,0.001,0.735417699929895,0,1,0.0600957134024849,0,0,"RBF_SVM"
1e-08,1e-06,0.582519854349123,0,1,0.0707358445974026,0,0,"RBF_SVM"
1e-08,1e-05,0.743251522428352,0,1,0.0593834660765501,0,0,"RBF_SVM"
1e-08,1e-04,0.748046482894044,0,1,0.0576810671120761,0,0,"RBF_SVM"
1e-08,0.001,0.749719187828944,0,1,0.0590517381642511,0,0,"RBF_SVM"
1e-07,1e-06,0.748516744096012,0,1,0.0566576208938348,0,0,"RBF_SVM"
1e-07,1e-05,0.752892910331935,0,1,0.0586665071300305,0,0,"RBF_SVM"
1e-07,1e-04,0.754474914810281,0,1,0.0583068290468636,0,0,"RBF_SVM"
1e-07,0.001,0.754098035317547,0,1,0.0585488924381206,0,0,"RBF_SVM"
1e-06,1e-06,0.754446188348627,0,1,0.0582886391845739,0,0,"RBF_SVM"
1e-06,1e-05,0.754502808557687,0,1,0.0590407771003748,0,0,"RBF_SVM"
1e-06,1e-04,0.755458973782145,0,1,0.0587925302279733,0,0,"RBF_SVM"
1e-06,0.001,0.754858900712559,0,1,0.0582108965734202,0,0,"RBF_SVM"
1e-05,1e-06,0.755085739049154,0,1,0.0583853531347838,0,0,"RBF_SVM"
1e-05,1e-05,0.755118515728272,0,1,0.0583330699068659,0,0,"RBF_SVM"
1e-05,1e-04,0.755155399301741,0,1,0.0582708190002415,0,0,"RBF_SVM"
1e-05,0.001,0.755131228789765,0,1,0.0583384888910536,0,0,"RBF_SVM"
1e-08,1e-06,0.603950283035649,0,1,0.0767981096685936,0,0,"RBF_SVM"
1e-08,1e-05,0.733734989344745,0,1,0.048100536732349,0,0,"RBF_SVM"
1e-08,1e-04,0.736950539389564,0,1,0.0466572172967845,0,0,"RBF_SVM"
1e-08,0.001,0.734831159556769,0,1,0.0465146249678658,0,0,"RBF_SVM"
1e-07,1e-06,0.737298539829028,0,1,0.0460483318023367,0,0,"RBF_SVM"
1e-07,1e-05,0.74433715509935,0,1,0.0454101929687508,0,0,"RBF_SVM"
1e-07,1e-04,0.744899067185653,0,1,0.0460101187826849,0,0,"RBF_SVM"
1e-07,0.001,0.744238014146551,0,1,0.0449823586432389,0,0,"RBF_SVM"
1e-06,1e-06,0.744623024592537,0,1,0.0458391504949203,0,0,"RBF_SVM"
1e-06,1e-05,0.744974852901682,0,1,0.0447558617533507,0,0,"RBF_SVM"
1e-06,1e-04,0.744919780407585,0,1,0.0446003517642123,0,0,"RBF_SVM"
1e-06,0.001,0.744900457949238,0,1,0.0454873966261904,0,0,"RBF_SVM"
1e-05,1e-06,0.745188803786365,0,1,0.0460089297533792,0,0,"RBF_SVM"
1e-05,1e-05,0.745202258007136,0,1,0.0459862091084454,0,0,"RBF_SVM"
