key	mean_rank
Otu00822	2
Otu00426	6
Otu01239	6
Otu00609	10
Otu00367	13
Otu01212	14
Otu00072	14.5
Otu00629	20.5
Otu00991	20.5
Otu00008	22.5
Otu01667	27
Otu00659	29
Otu00050	30
Otu00056	32.5
Otu00742	35
Otu00958	36
Otu00477	36.5
Otu01646	38
Otu00045	42
Otu00092	43
