names	imp	sd_imp
Otu00958	0.661965811965812	0.045442262169541836
Otu00008	0.6620726495726496	0.04397598949422998
Otu00050	0.6627136752136752	0.04316832582661097
Otu00629	0.663034188034188	0.04263018085193953
Otu00299	0.6631410256410256	0.04284782208043116
Otu00758	0.6632478632478632	0.04330830346118481
Otu00612	0.6637820512820513	0.044050884981089986
Otu01087	0.6639957264957265	0.04353163182209977
Otu00742	0.6642094017094017	0.04472063412108821
Otu00013	0.6643162393162393	0.046926832237247175
Otu00044	0.6645299145299145	0.04365612803481467
Otu00126	0.6645299145299145	0.045324355125725045
Otu01212	0.6645299145299145	0.04340192661820891
Otu00092	0.6646367521367521	0.04431622224935943
Otu00246	0.6646367521367521	0.04362017581260682
Otu00307	0.6646367521367521	0.0432539639009585
Otu02114	0.6646367521367521	0.04371771347351587
Otu00822	0.6649572649572649	0.043458750097630366
Otu01123	0.6650641025641025	0.04371284980133554
Otu01179	0.6650641025641025	0.04370084404425659
Otu00961	0.6651709401709401	0.04388976314265909
Otu00178	0.6652777777777777	0.04325897937978105
Otu00361	0.6652777777777777	0.04373527605356615
Otu00769	0.6652777777777777	0.043751499068765444
Otu00609	0.6653846153846154	0.04402041914260156
Otu00867	0.6653846153846154	0.043656407345754586
Otu00068	0.665491452991453	0.04359661248024826
Otu01460	0.665491452991453	0.04373159811190685
Otu00035	0.6655982905982906	0.04406274423404622
Otu00991	0.6655982905982906	0.04418549812323997
Otu02095	0.6655982905982906	0.04390877002189309
Otu02580	0.6655982905982906	0.04356597023589515
Otu00122	0.6657051282051282	0.04363818711984838
Otu00535	0.6657051282051282	0.04402992999836689
Otu01428	0.6657051282051282	0.043816955002907575
Otu02856	0.6657051282051282	0.043979752594557275
Otu00017	0.6658119658119658	0.04420565612407668
Otu00428	0.6658119658119658	0.04388460390039427
Otu00618	0.6658119658119658	0.04342201716975527
Otu01138	0.6658119658119658	0.04396358606095416
Otu01667	0.6658119658119658	0.04378302694626516
Otu02066	0.6658119658119658	0.043791067171571475
Otu00112	0.6659188034188034	0.04327073832698598
Otu00367	0.6659188034188034	0.044177348091545936
Otu00004	0.666025641025641	0.04415751278841153
Otu00014	0.666025641025641	0.0464662767192408
Otu00015	0.666025641025641	0.04991101746027118
Otu00056	0.666025641025641	0.043679384427730776
Otu00205	0.666025641025641	0.043277113305001634
Otu00255	0.666025641025641	0.04373694342934018
Otu00466	0.666025641025641	0.043104136219931574
Otu00517	0.666025641025641	0.043943758273946885
Otu01133	0.666025641025641	0.04391546845488293
Otu01440	0.666025641025641	0.04382740866078423
Otu02031	0.666025641025641	0.04394269319200514
Otu02223	0.666025641025641	0.04388373921230238
Otu02294	0.666025641025641	0.0436549937119042
Otu00019	0.6661324786324786	0.04386005502548226
Otu00594	0.6661324786324786	0.04361399796112527
Otu00998	0.6661324786324786	0.043464748893535875
Otu01239	0.6661324786324786	0.04355903277645953
Otu01454	0.6661324786324786	0.043924220038528736
Otu00021	0.6662393162393162	0.04337386527625021
Otu00515	0.6662393162393162	0.04377180467826419
Otu00549	0.6662393162393162	0.04371837146905638
Otu00659	0.6662393162393162	0.04404719203550685
Otu01121	0.6662393162393162	0.043651409533195226
Otu01203	0.6662393162393162	0.043256333405354584
Otu02139	0.6662393162393162	0.04387953196945567
Otu02537	0.6662393162393162	0.04381028150947868
Otu02602	0.6662393162393162	0.04372715110926885
Otu02763	0.6662393162393162	0.04416906640531644
Otu00018	0.6663461538461538	0.04415456705332292
Otu00104	0.6663461538461538	0.04372026691556551
Otu01009	0.6663461538461538	0.04377364423742841
Otu01337	0.6663461538461538	0.04385013896001477
Otu01600	0.6663461538461538	0.04365123874754174
Otu01672	0.6663461538461538	0.04373047112508684
Otu01752	0.6663461538461538	0.043695440060735294
Otu01761	0.6663461538461538	0.04365825345739098
Otu02242	0.6663461538461538	0.043271097289480934
Otu02276	0.6663461538461538	0.04384808510367662
Otu02427	0.6663461538461538	0.04372763119830187
Otu00059	0.6664529914529914	0.043855003127892735
Otu00200	0.6664529914529914	0.043784146155128434
Otu00416	0.6664529914529914	0.04402056272369537
Otu00426	0.6664529914529914	0.04442706540822759
Otu00480	0.6664529914529914	0.043830842978592376
Otu00492	0.6664529914529914	0.04362096775310702
Otu00901	0.6664529914529914	0.044200430354158986
Otu00920	0.6664529914529914	0.0438116195000674
Otu01479	0.6664529914529914	0.043801847717575317
Otu01612	0.6664529914529914	0.0440031831278453
Otu01646	0.6664529914529914	0.043712575334944215
Otu01691	0.6664529914529914	0.04355923182166848
Otu01779	0.6664529914529914	0.04380099276714361
Otu00072	0.666559829059829	0.043866699657428745
Otu00339	0.666559829059829	0.04386110581647526
Otu00406	0.666559829059829	0.0438662198288081
Otu00415	0.666559829059829	0.043906900411662356
Otu00975	0.666559829059829	0.043720439066583
Otu01035	0.666559829059829	0.04346412833390681
Otu01208	0.666559829059829	0.04356625711146782
Otu01209	0.666559829059829	0.04374702130338341
Otu01663	0.666559829059829	0.043687346608254025
Otu02300	0.666559829059829	0.043763520067274485
Otu02529	0.666559829059829	0.043865271510531795
Otu02630	0.666559829059829	0.043695996542329744
Otu03390	0.666559829059829	0.043674791879090735
Otu03453	0.666559829059829	0.04376957250224221
Otu00182	0.6666666666666666	0.04362459201504308
Otu00207	0.6666666666666666	0.04365168163725906
Otu00503	0.6666666666666666	0.04414688872136795
Otu00722	0.6666666666666666	0.043656680158137756
Otu00761	0.6666666666666666	0.04393648999481782
Otu00844	0.6666666666666666	0.04354926107932527
Otu01023	0.6666666666666666	0.043720089647832056
Otu01264	0.6666666666666666	0.04360789331708586
Otu01377	0.6666666666666666	0.04409254489971872
Otu01390	0.6666666666666666	0.04364889237132612
Otu01747	0.6666666666666666	0.04387033399956042
Otu01852	0.6666666666666666	0.04382864827026123
Otu01873	0.6666666666666666	0.04390959556601773
Otu01874	0.6666666666666666	0.04374531446128908
Otu02625	0.6666666666666666	0.04397052954500331
Otu03093	0.6666666666666666	0.043592932043517156
Otu03316	0.6666666666666666	0.043982058251353325
Otu00144	0.6667735042735042	0.043832618404385515
Otu00152	0.6667735042735042	0.04386265401416148
Otu00234	0.6667735042735042	0.04370292254881787
Otu00477	0.6667735042735042	0.043646308390579744
Otu00753	0.6667735042735042	0.043644789290771764
Otu00833	0.6667735042735042	0.04382015355111041
Otu00945	0.6667735042735042	0.04355440551306652
Otu01205	0.6667735042735042	0.04391452692360947
Otu01290	0.6667735042735042	0.043724778008287446
Otu01434	0.6667735042735042	0.04390567776955971
Otu01569	0.6667735042735042	0.04379522878648783
Otu01665	0.6667735042735042	0.04381588857531899
Otu01772	0.6667735042735042	0.043319265843770556
Otu01924	0.6667735042735042	0.04352252791005175
Otu02226	0.6667735042735042	0.0438849072412987
Otu02426	0.6667735042735042	0.04382580455060835
Otu02523	0.6667735042735042	0.043755061188451044
Otu02594	0.6667735042735042	0.04383248746471787
Otu02626	0.6667735042735042	0.04380942719735021
Otu02676	0.6667735042735042	0.043907017474706586
Otu02829	0.6667735042735042	0.043836091135138366
Otu02917	0.6667735042735042	0.04386462639006264
Otu03069	0.6667735042735042	0.043748836341266896
Otu03715	0.6667735042735042	0.04389493580472585
Otu03735	0.6667735042735042	0.043897336004966696
Otu04567	0.6667735042735042	0.04375682577670555
Otu00030	0.6668803418803418	0.0441062654821531
Otu00045	0.6668803418803418	0.04410965064322229
Otu00110	0.6668803418803418	0.04398787847995253
Otu00132	0.6668803418803418	0.043830745125014586
Otu00267	0.6668803418803418	0.04370894982192646
Otu00318	0.6668803418803418	0.043718095929684175
Otu00434	0.6668803418803418	0.04377573577285303
Otu00459	0.6668803418803418	0.04408824712049858
Otu00494	0.6668803418803418	0.043774634838568256
Otu00528	0.6668803418803418	0.04392876005460876
Otu00619	0.6668803418803418	0.043595111325276124
Otu00636	0.6668803418803418	0.04358427101933317
Otu00685	0.6668803418803418	0.044038208108722623
Otu00710	0.6668803418803418	0.04391961350434675
Otu00768	0.6668803418803418	0.04621950931883585
Otu00868	0.6668803418803418	0.0437950941546731
Otu01021	0.6668803418803418	0.04338847309747762
Otu01048	0.6668803418803418	0.0439665261303166
Otu01223	0.6668803418803418	0.044560750237499794
Otu01322	0.6668803418803418	0.043841668391518346
Otu01335	0.6668803418803418	0.04386050505962949
Otu01426	0.6668803418803418	0.04391308494647623
Otu01692	0.6668803418803418	0.043847397238027386
Otu02305	0.6668803418803418	0.043855466095947385
Otu02628	0.6668803418803418	0.043970271528322176
Otu02972	0.6668803418803418	0.04355146923157758
Otu03032	0.6668803418803418	0.043853668459069954
Otu03114	0.6668803418803418	0.043766030952564365
Otu04300	0.6668803418803418	0.04380008910219474
Otu04658	0.6668803418803418	0.04379804495540258
Otu00020	0.6669871794871794	0.04351771310927817
Otu00040	0.6669871794871794	0.04374686570261351
Otu00067	0.6669871794871794	0.043775423036584854
Otu00076	0.6669871794871794	0.04376251008751827
Otu00082	0.6669871794871794	0.043727851043991704
Otu00228	0.6669871794871794	0.04376969662330028
Otu00283	0.6669871794871794	0.043834064817155745
Otu00303	0.6669871794871794	0.04368854870617498
Otu00323	0.6669871794871794	0.04381446408775311
Otu00345	0.6669871794871794	0.043570954562578965
Otu00457	0.6669871794871794	0.04397969471040454
Otu00713	0.6669871794871794	0.043815537444250624
Otu00723	0.6669871794871794	0.043932351786447124
Otu00754	0.6669871794871794	0.043681476781208144
Otu00781	0.6669871794871794	0.04377111139936907
Otu00849	0.6669871794871794	0.04397643881387547
Otu01034	0.6669871794871794	0.043840040397477034
Otu01176	0.6669871794871794	0.04376398647952401
Otu01228	0.6669871794871794	0.04382025895330065
Otu01237	0.6669871794871794	0.04373754551431485
Otu01301	0.6669871794871794	0.04350615336751084
Otu01364	0.6669871794871794	0.04373350237047798
Otu01543	0.6669871794871794	0.04378449501001634
Otu01658	0.6669871794871794	0.043763459315290465
Otu01735	0.6669871794871794	0.043832919685132546
Otu01917	0.6669871794871794	0.04389091372654867
Otu01939	0.6669871794871794	0.043842029411730814
Otu02036	0.6669871794871794	0.043795811536867575
Otu02048	0.6669871794871794	0.04397218737094779
Otu02128	0.6669871794871794	0.04374368330298959
Otu02177	0.6669871794871794	0.04381654367564134
Otu02216	0.6669871794871794	0.04377155181185419
Otu02499	0.6669871794871794	0.0437999564332398
Otu02569	0.6669871794871794	0.043852970164431695
Otu02612	0.6669871794871794	0.04366058369742654
Otu02887	0.6669871794871794	0.04373615321977498
Otu03082	0.6669871794871794	0.04371094844130549
Otu03173	0.6669871794871794	0.04379117411816792
Otu03279	0.6669871794871794	0.043958074212315665
Otu03663	0.6669871794871794	0.043757829142424126
Otu03930	0.6669871794871794	0.04381227003263403
Otu04200	0.6669871794871794	0.0437887712584566
Otu06869	0.6669871794871794	0.043772907000706025
Otu00033	0.66709401709401706	0.04374182608900672
Otu00038	0.66709401709401706	0.04384761474778156
Otu00060	0.66709401709401706	0.044135325380370995
Otu00090	0.66709401709401706	0.044090347109939476
Otu00109	0.66709401709401706	0.04368927707433324
Otu00121	0.66709401709401706	0.04383186674539871
Otu00171	0.66709401709401706	0.04390670257493336
Otu00229	0.66709401709401706	0.04379063069405386
Otu00242	0.66709401709401706	0.043820755755717235
Otu00263	0.66709401709401706	0.04381025708725742
Otu00335	0.66709401709401706	0.043805469647907325
Otu00366	0.66709401709401706	0.04372862384370769
Otu00369	0.66709401709401706	0.04393470569776366
Otu00432	0.66709401709401706	0.04350614409215645
Otu00655	0.66709401709401706	0.0438243319775513
Otu00666	0.66709401709401706	0.043905939527073445
Otu00863	0.66709401709401706	0.04386346228948566
Otu00872	0.66709401709401706	0.04383767971976803
Otu00897	0.66709401709401706	0.043743208503465913
Otu00984	0.66709401709401706	0.04376486718001713
Otu01232	0.66709401709401706	0.04372291782895708
Otu01320	0.66709401709401706	0.04381591346804721
Otu01386	0.66709401709401706	0.04366285086147309
Otu01547	0.66709401709401706	0.043577808211965455
Otu01599	0.66709401709401706	0.04384316420765534
Otu01609	0.66709401709401706	0.04394175098463224
Otu01717	0.66709401709401706	0.04407144689897221
Otu01723	0.66709401709401706	0.04379669354546115
Otu01868	0.66709401709401706	0.0440030023883372
Otu01980	0.66709401709401706	0.04373063168807688
Otu02003	0.66709401709401706	0.04379503207752565
Otu02070	0.66709401709401706	0.04371646022174917
