sigma,C,ROC,Sens,Spec,ROCSD,SensSD,SpecSD,model
1e-8,1e-7,0.5162886492764541,0,1,0.0413623312501476,0,0,RBF_SVM
1e-8,1e-6,0.5737621942499991,0,1,0.06652003089015819,0,0,RBF_SVM
1e-8,1e-5,0.7185666890758354,0,1,0.05405345996136599,0,0,RBF_SVM
1e-8,1e-4,0.724848287747678,0,1,0.055101332423393795,0,0,RBF_SVM
1e-8,0.001,0.7249386285239944,0,1,0.055220629435304903,0,0,RBF_SVM
1e-8,0.01,0.724942228378204,0,1,0.055121874789489565,0,0,RBF_SVM
1e-8,0.1,0.725148175178663,0,1,0.05561676809261158,0,0,RBF_SVM
1e-8,1,0.7251756233585502,0,1,0.055527558744445156,0,0,RBF_SVM
1e-8,10,0.7251756233585502,0,1,0.055527558744445156,0,0,RBF_SVM
1e-7,1e-7,0.5699393509363021,0,1,0.07300084762012811,0,0,RBF_SVM
1e-7,1e-6,0.7219294058867229,0,1,0.053418714907799196,0,0,RBF_SVM
1e-7,1e-5,0.7297412909425105,0,1,0.05469750372013176,0,0,RBF_SVM
1e-7,1e-4,0.729636820618528,0,1,0.05424411762691887,0,0,RBF_SVM
1e-7,0.001,0.7298322159267281,0,1,0.05464781486875945,0,0,RBF_SVM
1e-7,0.01,0.7297546679955217,0,1,0.054391968008564585,0,0,RBF_SVM
1e-7,0.1,0.7295588497905571,0,1,0.05477691740937166,0,0,RBF_SVM
1e-7,1,0.729932237115164,0,1,0.05441647556770392,0,0,RBF_SVM
1e-7,10,0.729932237115164,0,1,0.05441647556770392,0,0,RBF_SVM
1e-6,1e-7,0.7232890255237816,0,1,0.052779955977916,0,0,RBF_SVM
1e-6,1e-6,0.7307327697906966,0,1,0.054106535581043315,0,0,RBF_SVM
1e-6,1e-5,0.7310217848510532,0,1,0.053774392595582754,0,0,RBF_SVM
1e-6,1e-4,0.7308015306247013,0,1,0.05410571715175871,0,0,RBF_SVM
1e-6,0.001,0.7308846795401673,0,1,0.05430366411382293,0,0,RBF_SVM
1e-6,0.01,0.7308757564184394,0,1,0.05390079658637733,0,0,RBF_SVM
1e-6,0.1,0.730720760830517,0,1,0.05396804499194496,0,0,RBF_SVM
1e-6,1,0.7307381859211127,0,1,0.05412717777844575,0,0,RBF_SVM
1e-6,10,0.7289003768576939,0.279984984984985,0.9429709639953542,0.05456411758717005,0.12151056311382087,0.06474078351682985,RBF_SVM
1e-5,1e-7,0.7309818542410006,0,1,0.054142613272239834,0,0,RBF_SVM
1e-5,1e-6,0.7309270398447227,0,1,0.054137839784757426,0,0,RBF_SVM
1e-5,1e-5,0.7310802527265942,0,1,0.054068514580497246,0,0,RBF_SVM
