key	mean_rank
Otu01239	4
Otu00659	7
Otu00012	8
Otu00742	8
Otu00015	10
Otu00008	11
Otu00768	11
Otu00822	13
Otu00050	13.5
Otu00629	15
Otu00426	16
Otu00056	16.5
Otu02095	18.5
Otu00609	19
Otu01123	19.5
Otu00092	20
Otu00013	20.5
Otu01212	21
Otu00004	23.5
Otu00961	25.5
