	C	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
0	1e-05	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
1	0.0001	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
2	0.0005	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
3	0.001	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
4	0.005	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
5	0.01	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
6	0.05	0.7858948168329389	0.770389500598871	0.7603868802716177	0.7816449088817182	0.7642251698918573	0.7776708760064908	0.7692875811529372	0.7835057349445729	0.7665845771596457	0.7716568405896119	0.7627882420036477	0.7622873689215774	0.784056508154318	0.757412717417695	0.7532199539144847	0.7953753189209262	0.771572005434468	0.7781766307968709	0.7605373977760737	0.7867140930084248	0.7723419086573953	0.7810962240194756	0.7604775927620004	0.7817555612704008	0.7679239946677106	0.7796370029632846	0.7688724654488095	0.7720834216852135	0.7755042123026815	0.7835372349924055	0.7687890656780652	0.7980136231792838	0.784016841229696	0.7786386784325747	0.771896065317077	0.7714075151201831	0.7662188998044835	0.7614046325399921	0.7587042604184218	0.7608922737134846	0.7602176844189351	0.7744793985569869	0.7931923798531874	0.753103055835292	0.7821589683484594	0.7734473902055722	0.8053656437227243	0.7819077623986783	0.773920499510034	0.7553089386985292	0.7775758890601474	0.7634792277789414	0.7705899829600987	0.7911700019768402	0.7893192115931974	0.7664962219428061	0.7735100663220997	0.773886892763666	0.7448514263036413	0.7756008341591966	0.7588584421235928	0.7765855292112137	0.7607556265867305	0.7676148184734547	0.7991102138190241	0.7798399870707299	0.776347435908318	0.8044838696025541	0.7710738749976243	0.7701949943348027	0.7709866548755611	0.7698283603903626	0.7702253372666202	0.7822518118942025	0.758192982634558	0.7652107995119134	0.7740225572760416	0.7904407783218759	0.7605795527670529	0.787306253802334	0.7562786926735098	0.7600399126282651	0.7480722557292059	0.7531906126153887	0.7401794109048964	0.795931240429436	0.8007007448543971	0.7625849809624387	0.7808674994191731	0.7752821821590489	0.7800363828238391	0.7656711271553853	0.7585108091718968	0.7569836045469134	0.764079139048029	0.7655280331440735	0.7753354845681564	0.7733243615468914	0.7591131484494166	0.7790684055624636
7	0.1	0.7690732884719322	0.7613505303595212	0.7381388588332343	0.7662492040323051	0.7495490951112529	0.7584104243527464	0.7537412403514941	0.7492940277705709	0.759391768172567	0.7679604621732236	0.7555233945368963	0.7300165026498091	0.7740239953296824	0.7185127718648749	0.7623353198359419	0.7875672852285907	0.7734359308198906	0.7688754656758017	0.7452812401838659	0.7506146187875282	0.7629680480896882	0.7622326134443481	0.7478167152655393	0.765603287058302	0.7385903909936388	0.7453074668122579	0.7365170833298634	0.7370923868652839	0.7622326648272393	0.7727300903842406	0.7424515456667647	0.7803979775747447	0.7790038816637872	0.7560336793630722	0.7627255482033978	0.7618207755682869	0.7347012800238908	0.7487226460176313	0.7474975784644774	0.7663027553481448	0.7197491950369626	0.7677003836660383	0.7791826527515925	0.7341554495813455	0.7393968054309019	0.7633106471863316	0.7836599169833988	0.7778908868692344	0.766342083946458	0.7598908098215901	0.7621222436615668	0.7412692740561083	0.7658320233365343	0.7529871296935134	0.7612964358531182	0.7415165678994078	0.760509703398734	0.7528778416206864	0.7418487649634986	0.7440822784759444	0.7505966868258432	0.7433846349460462	0.7219470268017429	0.7613425743527784	0.7793169849790059	0.7758221249230458	0.7620906218296088	0.7913808877052405	0.7435937706532529	0.7588346715306645	0.7402697787295223	0.7421451097821493	0.7420103748329857	0.7633728438404273	0.7341256248159559	0.7377765560661279	0.7500143731959935	0.748261349773296	0.7652641472981195	0.7640275085848132	0.7397754129235897	0.7583118826445729	0.7460912500888858	0.7135039983363154	0.7160784950535759	0.7601016111352411	0.7856557082174616	0.7395439219885462	0.7534472741603154	0.7736744622119809	0.7675608477531076	0.7629728163552518	0.7416162086676024	0.7394256542550159	0.7496692610088579	0.734953684129269	0.7699428651612575	0.7602763199717532	0.7359017061442087	0.761685592520274
8	1.0	0.733558133481914	0.7239338236942767	0.7322948477347434	0.7404912543383175	0.7720197062329343	0.7437686733433995	0.7248042932447487	0.7562416332637837	0.7526640961341061	0.7473268498000952	0.7337421476265429	0.70655195522978	0.7736530916004535	0.711616531245389	0.736597387448246	0.7524191005073908	0.7599433381507796	0.7129622144632721	0.7114124804424706	0.7064509084388376	0.7790495970887334	0.7477086153386552	0.7644846948651703	0.7556384828706258	0.7248233983378956	0.7202736528660496	0.7211033130567104	0.7249250577196695	0.7429149065690878	0.7546425656617294	0.6974766809759343	0.7580794224413563	0.7553948252010099	0.7332903251861689	0.7418729990034121	0.7429897794491498	0.7564785170668072	0.70490576150886	0.7633724948371539	0.7631275692780173	0.7423008683414981	0.7479549349089544	0.7590505337254342	0.7272194546195915	0.7378423201609486	0.7235030862566327	0.7497309358263191	0.803512338913969	0.7500403275617934	0.7381418096792661	0.7558049661070441	0.7167640192279315	0.7567831408703733	0.7392997838555331	0.7459325009785437	0.724589760332045	0.7457700536346629	0.7550309282296589	0.7435164220520741	0.7423545287625677	0.7353847265277081	0.7233946263158557	0.7600220393898842	0.7596475962469615	0.7942568174819916	0.7576269280195361	0.7356588001996165	0.7826551038612387	0.760460122579025	0.7372345159459396	0.7103415008373944	0.73095245168727	0.7238026171481872	0.7620928259554443	0.7402977376953859	0.7244992884070162	0.7553287768320124	0.7293554240527237	0.7322750045964331	0.7481617830765418	0.7307650522776207	0.7143143132021305	0.7121391105960543	0.7241937343729279	0.6911303153665648	0.7664163705944443	0.7462337201650914	0.7289314151045735	0.7538015631983404	0.7796295811384164	0.7584660019562334	0.7488146674371164	0.7228360348989394	0.7247593338823428	0.7341438116901656	0.7150828878103019	0.731898108420943	0.7455038535566783	0.7243686197130076	0.7707691841293759
